probe_name	transcript_name	function	structural	category	sub category 1	Officix7515_In1.c	Officix7515_In1.t	Officix7515_In5.c	Officix7515_In5.t	Officix7515_L1.c	Officix7515_L1.t	Robustx7515_In1.c	Robustx7515_In1.t	Robustx7515_In5.c	Robustx7515_In5.t	Robustx7515_L1.c	Robustx7515_L1.t	Spontx7515_In1.c	Spontx7515_In1.t	Spontx7515_In5.c	Spontx7515_In5.t	Spontx7515_L1.c	Spontx7515_L1.t
GS1_AS_22487_05675	SCBGHR1061H07.g	Unknown	.	.	RecName:Probable serine/threonine-protein kinase DDB_G0282963		6.7054					6.2961	7.1502					6.4339	6.8464				
GS1_SS_22465_14378	SCJLRT1019D10.g	Unknown	Uncharacterized	.	RecName:Serine/arginine repetitive matrix protein 1	12.0221	12.1711	10.8044	12.445	11.1969	12.4244	11.9046	12.1492	10.7884	11.7533	11.3155	11.2064	11.9471	12.2135	10.5688	11.0765	11.2114	11.4849
GS1_SS_22468_10875	SCJFHR1034D01.g	.	.	.	KH domain-containing protein At4g18375	10.747	11.2112	9.4772	9.8329	9.2794	10.1281	10.4558	10.1635	9.3686	9.4886	9.3547	9.9317	10.6744	10.1022	9.0592	8.5447	9.1615	9.422
GS1_SS_22466_00565	SCACLR1057B05.g	Unknown	uncharacterized	.	.	11.3216	11.5509	9.9436	10.2847	10.3871	10.8562	11.0694	9.8592	9.8679	9.4683	10.373	10.3515	11.267	10.1145	9.5335	10.1121	10.296	11.0504
GS1_SS_22450_00279	SCQGFL3051G05.g	.	.	.	.	7.0188	6.0033	7.1431		6.9054	6.6207	6.8168		7.0526		7.5189	7.3531	6.8998	6.6204	7.0465		6.6335	6.5112
GS1_SS_22448_11180	SCRFLR1012G04.g	.	.	.	Centromeric protein E; CENP-E	10.3753	10.3473	10.88	10.5549	7.7197	8.3686	10.0698	10.7196	10.8389	11.2145	7.4006	9.2674	10.3853	10.4883	10.6919	10.5949	7.1463	7.8765
GS1_SS_22455_08532	SCVPHR1096C12.g	.	.	.	Pseudouridylate synthase 7 homolog	6.9503	6.9961			6.458		6.8484	7.8608			6.3503		7.1063					
GS1_SS_22462_11244	SCJLFL3015H09.g	.	.	.	.	9.9687	10.8367		8.7249			9.9969	11.3438		7.8372			10.0995	11.1113		8.447		
GS1_SS_22459_13615	SCJLRT1018C07.g	RNA metabolism	exonuclease	.	Exosome complex exonuclease RRP42; Ribosomal RNA-processing protein 42; Exosome component 7; p8	11.3021	11.9424	10.8517	10.9018	10.5607	10.9581	11.192	11.2634	10.8089	10.4948	10.6394	10.0855	11.3294	11.0064	10.5842	10.084	10.4209	9.4317
GS1_SS_22485_21393	SCQGFL3053A08.g	.	.	Transcription Factor	.	10.6104	10.9275	10.4407	10.4245	10.4485	10.7266	10.4837	11.1914	10.3494	10.8252	10.5236	10.6652	10.5457	9.9981	10.1069	9.7883	10.5413	9.753
GS1_SS_19918_18280	SCRLFL1011A02.g	Lipid metabolism	acyltransferase	Lipid, fatty-acid and isoprenoid metabolism	RecName:Phospholipase A(1) LCAT3; AltName:Lecithin-cholesterol acyltransferase-like 3	13.594	13.0321	10.4716	11.1181	11.9438	12.1825	13.8482	13.0792	10.4649	11.5034	11.8605	12.2644	13.9992	12.6597	10.1185	10.9414	11.6788	11.4537
GS1_SS_19916_20485	SCRUFL1020F09.g	Carbohydrate metabolism	receptor	Carbohydrate metabolism	Similarity to elicitor-inducible receptor EIR	10.4183	10.9163	7.2818	9.2525	6.03		10.2077	11.1853	6.9997	8.9987	6.3434		10.3231	10.7986	6.862		6.3982	
GS1_SS_22484_11922	SCJFRZ2011F04.g	.	.	.	Coatomer subunit beta-2; Beta-coat protein 2; Beta-COP 2	14.0852	14.0017	14.519	14.5334	13.7111	13.6578	14.0464	13.8536	14.4964	14.5658	13.766	13.3905	14.0938	14.3073	14.5354	14.5854	13.701	13.6748
GS1_SS_19920_13306	SCRLFL1011C02.g	.	.	.	.	7.6853	8.4016	6.7976	7.8616	8.2226	9.6181	7.3088		6.5301		8.2447		7.4324	6.3375	6.6358		8.0729	6.6159
GS1_SS_19919_06580	SCRLFL1011A08.g	.	.	.	GPI ethanolamine phosphate transferase 3; Phosphatidylinositol-glycan biosynthesis class O protein; PIG-O	7.3558	8.1063		6.4602	6.495	6.7116	7.1503	7.1422		7.3437	6.1693		7.4649	7.614			6.07	
GS1_SS_22487_05676	SCBGHR1061H07.g	Unknown	.	.	RecName:Probable serine/threonine-protein kinase DDB_G0282963	14.0141	14.3942		10.5457			14.0124	14.2739	7.3915	11.9657		8.0156	14.0216	13.7395		7.4018	5.9597	7.4089
GS1_SS_22470_05768	SCEZSD1080E02.g	.	.	.	Protease Do-like 1, chloroplastic;	11.7827	11.7213	11.1284	10.8289	14.52	14.1866	11.7712	12.6455	11.2831	12.2197	14.5673	14.8834	11.7613	12.196	10.9525	12.1408	14.5285	14.7226
GS1_SS_19906_20593	SCEZRZ1015B08.g	.	.	Transporters	Endomembrane protein 70 (EMP70)	12.8887	12.5268	12.4397	12.5656	11.4294	11.0676	12.9454	12.7615	12.5154	12.7434	11.4933	11.6355	12.9078	12.8062	12.319	12.2359	11.3901	11.7004
GS1_SS_22474_01087	SCAGFL1089C05.g	Unknown	.	.	.	15.2263	15.2898	9.5054	11.2737			15.0564	15.5493	9.3221	11.3539			15.1181	12.7201	7.1391			
GS1_SS_19904_14962	SCRLFL1010G05.g	Carbohydrate metabolism	synthase	Carbohydrate metabolism	Starch synthase	7.5693	6.6929	7.752	6.8164	10.3523	9.0285	7.5823	8.2463	7.6778	7.6733	10.4522	9.4263	7.6474	8.1223	7.465	8.5607	10.2677	10.8333
GS1_SS_22473_13756	SCVPCL6064A12.g	.	.	.	Pentatricopeptide repeat-containing protein At1g74850, chloroplastic; Protein PLASTID TRANSCRIPTIONALLY ACTIVE 2;	11.8607	12.417	11.8367	12.0722	13.9323	14.2069	11.7492	12.1542	12.0026	11.7891	13.9951	14.2383	11.8362	11.8822	11.734	12.1556	13.8904	13.8352
GS1_SS_22478_06529	SCMCRT2103G10.g	Lipid metabolism	Reductase	.	Delta(14)-sterol reductase; C-14 sterol reductase; Sterol C14-reductase; Protein FACKEL	12.283	12.2731	11.9686	11.9573	11.3596	11.4447	11.9263	7.0515	11.8744	6.844	11.2514		12.2798	8.9794	11.8578	8.3924	11.1862	7.5476
GS1_SS_22475_00231	SCJLFL3015H01.g	Unknown	Uncharacterized	.	RecName:Uncharacterized protein LOC284861	9.2299	9.3677	9.4664	9.54	10.7718	10.6784	9.1665	9.8607	9.4752	10.1018	10.8105	11.6056	9.2247	10.1981	9.1487	10.4458	10.7472	11.8713
GS1_SS_19911_19392	SCEZSB1090F08.g	Protein metabolism	cullin	Cell cycle	Cullin-like protein	8.1356	9.951	7.6549	9.1223	9.8446	10.9345	8.1429		7.7477		9.9804	6.4993	7.9541		7.243		10.0645	
GS1_SS_22480_11107	SCEQRT2090D03.g	.	.	.	C-4 methylsterol oxidase; Methylsterol monooxygenase	13.1567	13.2425	12.4063	12.7774	11.3065	11.7231	13.1094	13.5342	12.5724	13.2987	11.3892	11.6612	13.0974	13.5665	12.3637	12.5616	11.3479	11.4863
GS1_SS_19914_12512	SCAGLB1069F01.g	.	.	.	.	13.2329	13.0288	13.2044	13.8733	12.805	12.4494	13.0701	12.6965	13.2437	14.3108	12.8567	13.2835	13.1452	14.0479	13.0998	13.9745	12.7071	12.9487
GS1_AS_22378_20590	SCEZLR1031E05.g	Protein metabolism	Ribosomal protein	Protein metabolism	50S ribosomal protein L5 (Fragment)					8.3483	8.2027					8.3338	8.2339					8.2685	8.0799
GS1_AS_22346_06033	SCVPFL3046G09.b	.	.	Library-specific	By domain															7.0162	7.2436		
GS1_AS_41047_19906	SCMCLB2083G12.g	Unknown	.	.	RecName:Actin cytoskeleton-regulatory complex protein PAN1	8.3945	8.4501	8.5612	8.4774	8.1893	8.3615	8.1827	8.3848	9.1677	8.341	8.0219	8.4448	8.512	8.8468	8.2935	8.7527	7.6941	8.5045
GS1_SS_22422_11117	SCJLFL3014B10.g	.	.	.	.	9.3534	9.4558	10.562	10.288	11.2908	11.7609	8.8885	8.8323	10.6165	9.6045	11.3703	11.7344	9.0821	9.25	10.1809	10.3936	11.2754	11.6992
GS1_SS_22420_02744	SCACCL6011C10.g	.	.	.	WD repeat-containing protein 12	9.4609	9.2764	9.1448	8.8765	9.3017	9.2849	9.3807	10.3188	8.9501	9.8159	9.3382	10.1313	9.4891	11.1606	8.6167	9.0297	9.1696	10.5824
GS1_SS_22425_14317	SCJLFL3014C12.g	Unknown	uncharacterized	.	.	7.8736	7.9065	6.9373	7.0682	6.5246	6.931	7.8768	7.9958	6.9002	7.6873	6.6014	7.7022	8.1876	10.0642	6.7344	8.8963	7.1986	9.8348
GS1_SS_22424_16841	SCJLFL3014C10.g	Pathogen Resistance	LRR protein	Pathogenicity	.							7.8949	7.9316										
GS1_SS_22426_13510	SCSGST1069D07.g	.	.	.	.	9.8132	9.2806	9.6828	9.322	8.1496	8.697	9.617	10.4939	9.4657	10.4758	8.3252	9.5064	9.8418	9.9374	9.3361	10.1998	8.2559	9.6014
GS1_SS_22417_19259	SCEPAM1015B01.g	.	.	Protein metabolism	Tryptophanyl-tRNA synthetase (EC 6.1.1.2) (Tryptophan--tRNA ligase) (TrpRS)	12.403	12.5782	12.6206	12.76	12.6524	12.8651	12.3161	12.8049	12.5426	12.9524	12.7891	12.8021	12.3791	12.982	12.5457	12.6551	12.7299	12.7562
GS1_SS_22416_14188	SCQGFL3050B12.g	.	.	.	Probable ribonuclease P/MRP protein subunit POP5; Protein EMBRYO DEFECTIVE 1687	9.6458	9.7905	8.9642	8.6357	8.9054	8.8998	9.404	11.2009	8.8725	10.5992	8.9653	10.8129	9.7302	11.1569	8.6338	10.4893	8.7562	10.7315
GS1_SS_22419_14154	SCCCRZ3097D07.g	.	.	.	Uncharacterized protein C1020.05 precursor; metallophosphoesterase superfamily/purple acid phosphatase family  	9.7354	9.5796	12.3416	11.8417	10.9326	11.7889	9.7933	8.9088	12.3473	10.9596	10.9542	10.3672	9.8227	10.6904	12.1162	11.1495	11.0853	11.022
GS1_SS_22418_12080	SCACAM2042E06.g	.	.	.	.	6.8816	7.6453		6.8755			6.842						6.8997				6.0585	
GS1_SS_22443_04012	SCJLFL3014E05.g	Unknown	no matches	.		10.603	10.7931	7.4256	9.4658	6.5193		10.4981	10.15	7.599	8.7415	6.6508		10.6757	10.5477	7.0045	7.273	6.5639	6.737
GS1_SS_22442_18014	SCEZRZ1016F07.g	.	.	Carbohydrate metabolism	Alpha-amylase	10.5556	10.7659	10.104	10.5577	10.4225	10.4861	10.6337	10.633	10.4554	10.453	9.8745	10.2576	10.658	10.7045	10.4747	10.3406	9.7767	9.5453
GS1_SS_22444_14429	SCCCLR1072A02.g	Protein metabolism	.	.	Subtilisin-like protease; Cucumisin-like serine protease;	13.3767	13.2249	9.8538	11.4101	7.3173	6.9636	13.3657	13.8059	9.8272	11.5966	7.1757		13.5178	13.3558	9.5087	9.123	7.1544	7.9027
GS1_SS_22447_13025	SCCCLR1C03D02.g	.	.	.	Splicing factor U2af small subunit B; U2 small nuclear ribonucleoprotein auxiliary factor small subunit B; U2 snRNP auxiliary factor small subunit B; U2 auxiliary factor 35 kDa subunit B; Zinc finger CCCH-type and RNA-binding motif domain-containing 	13.4693	13.7798	12.9934	13.4072	12.8877	13.4602	13.3345	13.9049	12.9586	13.7922	13.0281	14.0574	13.4087	13.6403	12.8796	13.3365	12.8803	13.5965
GS1_SS_22430_10734	SCJLFL3014H03.g	.	.	.	.	10.7961	11.0362	11.3956	10.5997	14.4637	14.1544	10.8448	10.4469	11.4598	10.2751	14.6168	14.0089	10.7827	9.0094	11.1381	9.8784	14.5334	13.2759
GS1_SS_22439_20532	SCAGLR2033A03.g	.	.	Pathogenicity	R-genes transduction	14.2531	14.1031	14.2135	14.2777	14.1901	14.0918	14.2464	13.9235	14.2187	14.217	14.2144	14.0149	14.2454	13.7967	14.2178	13.7967	14.3201	13.5942
GS1_SS_22437_05597	SCVPAM1056A04.g	AminoAcid and nitrogen metabolism	decarboxylase	.	Lysine decarboxylase-like protein At5g11950	10.6897	10.0945	9.5665	11.9088	11.4708	11.7035	10.5911	8.6509	9.3508	9.2477	11.5083	9.2589	10.6352	10.0199	9.2054	10.2644	11.4657	10.2381
GS1_SS_22441_12160	SCEZLB1006A02.g	.	.	.	.	11.3754	11.5705	9.6433	9.9747	9.7105	9.5648	11.3754	12.4472	9.5566	10.9847	9.7368	10.6764	11.3768	11.7526	9.2222	9.014	9.6164	10.0845
GS1_AS_40313_18994	SCBGLB2012C11.g	.	.	Stress	Water stress	7.0169	6.9686		6.325			6.67						6.8486	8.2633				
GS1_AS_38943_16992	SCBGFL5082B06.g	Lipid metabolism	.	Lipid, fatty-acid and isoprenoid metabolism	3-oxoacyl carrier protein synthase (3-ketoacyl-acyl carrier protein synthase)	7.3618		7.1876	6.456	6.2187				7.0138	7.3374	6.3714			6.5282	6.8828	7.0776		
GS1_AS_22239_18194	SCCCHR1003B09.g	.	.	Transporters	Transportin	7.0856	6.937	7.4833	6.8362	7.0226	6.8212	6.7468	6.8896	7.4423	7.0805	6.9262	6.8342	6.9098	7.7089	7.2988	7.7044	6.9146	7.6381
GS1_AS_16947_05115	SCCCLR1070E11.g	Unknown	no matches	.	.	6.862	6.6072	6.5837	6.3021		6.6117	6.9244				6.5209		6.7645				6.4855	
GS1_SS_19855_18301	SCQSAM2099F03.g	.	.	Protein kinase	cell cycle-related	10.2162	10.1139	10.9108	10.5371	9.8767	9.8212	10.1274	9.8198	10.8197	10.1665	9.8836	9.8486	10.1523	9.8676	10.7135	10.4765	9.7974	9.7042
GS1_SS_19854_12387	SCVPRT2073F12.g	Others	ERD1 protein	.	ERD1 protein, chloroplastic;	9.9747	9.3621	12.5354	10.7554	13.8666	11.0487	9.8908	9.9541	12.5726	11.912	13.8758	12.9837	9.9687	11.5045	12.4268	13.4064	13.7549	12.1762
GS1_SS_17261_19981	SCEZLB1007H04.g	Carbohydrate metabolism	.	Cell wall	Glycosyl transferase family 8 (cell wall metabolism, starch metabolism or  lipopolysaccharide biosynthesis)	13.5682	13.2538	13.7429	13.6282	12.0474	12.0875	13.3406	12.7303	13.8014	13.0336	12.6436	11.9924	13.3525	13.1903	13.6453	12.7018	12.1881	12.3026
GS1_SS_19865_00230	SCSGFL1079A03.g	Unknown	uncharacterized	.	RecName:Protein tesmin/TSO1-like CXC 2; Short=AtTCX2; AltName:Protein TSO1-like 2; Short=Protein SOL2	13.6432	13.8045	11.72	12.2265	10.4731	8.5538	13.3805	12.4874	11.724	12.3018	10.4733	8.3573	13.701	13.2399	11.6221	12.1042	10.3874	9.2284
GS1_SS_17262_00357	SCBFRZ2019C12.g	Unknown	others	.	RecName:Glycoprotein gp2; AltName:Glycoprotein X; Short=GpX; Flags: Precursor	15.7525	14.7336	12.5133	15.3733			15.9973	13.7657	12.9182	14.2958			15.9379	15.0183	12.601	12.1048		
GS1_SS_19861_12883	SCJFLR1073C09.g	Cell wall metabolism	Polysaccharide biosynthesis	Cell wall	Cellulose synthase (CesA)	12.2405	12.544	11.7777	12.2326	10.7025	10.3855	12.1573	12.5057	11.7263	12.2361	10.9993	11.719	12.2479	13.0712	11.585	12.598	10.744	12.2223
GS1_SS_17263_13950	SCSFSB1068B03.g	.	.	.	Putative potassium transporter 8; OsHAK8	8.9813	9.0786		7.5343			8.884	9.677		7.4936			8.9377	8.6343				
GS1_SS_19847_11271	SCCCFL4002B09.g	.	.	.	DEAD-box ATP-dependent RNA helicase 57	11.9996	12.1096	10.8248	11.2782	11.9539	11.9849	12.0636	12.3744	10.9603	11.5914	12.0341	12.9532	12.0172	11.5715	10.5956	10.7488	11.9964	12.1512
GS1_SS_17248_07440	SCSBSB1053F09.g	.	.	.	Glutamyl-tRNA(Gln) amidotransferase subunit A homolog	8.6151	9.1586	8.6728	8.7133	8.2956	8.0492	8.6453	8.9419	8.6906	8.6642	8.3815	8.6161	8.6534	8.5437	8.3898	8.7365	8.3374	8.1672
GS1_SS_19846_06528	SCCCFL4002A08.g	Unknown	no matches	.		7.2652	7.8314	6.1001	6.9647			7.3958	8.3327		7.6513			7.129	6.8189				
GS1_SS_19851_18640	SCCCFL4002D04.g	Carbohydrate metabolism	transferase	Carbohydrate metabolism	Starch and sucrose metabolism	13.7247	13.2586	12.4983	11.884	15.6481	14.2205	13.5088	12.9802	12.4762	12.9099	15.705	14.6584	13.745	13.3871	12.4014	12.9767	15.5803	15.0768
GS1_SS_17251_11418	SCRLLR1038B02.g	.	.	.	CTD small phosphatase-like protein 2; CTDSP-like 2	10.2715	11.4323	11.1037	11.6871	11.5082	11.9587	11.4247	11.9265	10.9597	11.4474	11.604	12.418	11.2878	11.6573	11.0434	11.498	11.4683	11.6189
GS1_SS_19849_13677	SCEQLB1065B12.g	.	.	.	FK506-binding protein 2-1; Peptidyl-prolyl cis-trans isomerase; PPIase; Rotamase; 15 kDa FKBP; FKBP-15-1;	11.5067	11.3369	11.1325	10.9047	10.2601	10.2668	10.849	10.2505	11.263	10.6644	9.9506	10.0736	11.2428	11.3587	11.2183	11.2603	10.149	10.3272
GS1_SS_17252_08881	SCVPCL6042B11.g	Signal Transduction	kinase/phosphatase	Protein kinase	MAPK/MAPKK/MAPKKK	12.0908	11.8923	11.9338	11.9238	12.3905	12.2133	12.0655	12.1817	12.0997	12.2316	12.5592	12.693	11.8576	12.2476	11.8486	12.1154	11.9183	11.9843
