probe_name	transcript_name	function	structural	category	sub category 1	3280.D.L1.C1.c	3280.D.L1.C1.t	3280.D.L1.C2.c	3280.D.L1.C2.t	3280.D.L1.C3.c	3280.D.L1.C3.t	3280.D.R.C1.c	3280.D.R.C1.t	3280.D.R.C2.c	3280.D.R.C2.t	3280.D.R.C3.c	3280.D.R.C3.t
GS1_SS_22513_09987	SCCCLR1066H08.g	.	.	Stress	Thioredoxin	15.0448	15.7562	16.3201	16.5702	16.204	14.977	17.3862	17.6392	17.0594	17.2967	17.2244	17.1452
GS1_SS_19957_15326	SCRLFL1012E01.g	.	.	Amino acid metabolism	Phosphoribosylanthranilate isomerase	10.7221	10.9721	10.8591	10.8556	10.2849	10.651	10.1571	9.8957	10.0294	10.3797	9.7708	10.1508
GS1_SS_22517_13081	SCEPLR1030D10.g	.	.	.	Developmentally-regulated GTP-binding protein 1; DRG-1; xDRG	8.8922	8.9592	8.5975	8.7691	8.6619	8.9682	8.9168	8.8322	8.7079	9.53	9.3355	9.6166
GS1_SS_19953_00984	SCEQRT1030G12.g	.	.	.	Calpain-D; Calcium-activated neutral proteinase D; CANP D; Small optic lobes protein										7.528	7.1945	7.0391
GS1_SS_22507_10969	SCJLFL3018D03.g	.	.	.	RecName:Protein MEI2-like 2; Short=OML2; AltName:MEI2-like protein 2							7.4028	7.098	7.3767		7.5645	7.5411
GS1_SS_22465_14378	SCJLRT1019D10.g	Unknown	Uncharacterized	.	RecName:Serine/arginine repetitive matrix protein 1	11.0447	10.8592	11.6469	9.516	10.4125	10.1445	12.4812	13.6462	12.8248	13.8868	12.7099	12.8664
GS1_SS_22468_10875	SCJFHR1034D01.g	.	.	.	KH domain-containing protein At4g18375							8.8488	9.5005	9.912	10.2568	9.8178	9.6742
GS1_SS_22466_00565	SCACLR1057B05.g	Unknown	uncharacterized	.	.	9.4231	9.9824	8.6814	10.3525	8.4456	7.9849	8.0946	9.161	8.6484	10.448	8.4503	8.6029
GS1_SS_22450_00279	SCQGFL3051G05.g	.	.	.	.					7.8466		7.501	6.811	7.4326		7.2339	7.0345
GS1_SS_22448_11180	SCRFLR1012G04.g	.	.	.	Centromeric protein E; CENP-E							8.689	8.9299	9.3531	8.6277	9.295	8.6539
GS1_SS_22455_08532	SCVPHR1096C12.g	.	.	.	Pseudouridylate synthase 7 homolog							7.4443		6.9962	7.5939		7.0686
GS1_SS_22459_13615	SCJLRT1018C07.g	RNA metabolism	exonuclease	.	Exosome complex exonuclease RRP42; Ribosomal RNA-processing protein 42; Exosome component 7; p8		9.2254	9.3189		8.0744		10.548	10.3579	11.0459	10.6738	11.0471	10.4115
GS1_SS_22485_21393	SCQGFL3053A08.g	.	.	Transcription Factor	.	10.1236	9.7188	10.1179	9.8384	9.4264	8.969	9.8567	9.5129	9.9388	9.6252	9.4378	9.7264
GS1_SS_19918_18280	SCRLFL1011A02.g	Lipid metabolism	acyltransferase	Lipid, fatty-acid and isoprenoid metabolism	RecName:Phospholipase A(1) LCAT3; AltName:Lecithin-cholesterol acyltransferase-like 3	10.7108	11.4101	11.6296	16.4119	10.8944	10.1624	10.7878	12.7577	11.3203	12.9314	10.9931	11.2277
GS1_SS_22484_11922	SCJFRZ2011F04.g	.	.	.	Coatomer subunit beta-2; Beta-coat protein 2; Beta-COP 2	13.3721	13.5254	12.9448	13.8316	12.3898	12.4067	13.3836	13.1724	14.1974	14.0997	13.9466	13.5783
GS1_SS_19920_13306	SCRLFL1011C02.g	.	.	.	.							7.2449		7.3053		7.0385	6.7652
GS1_SS_22487_05676	SCBGHR1061H07.g	Unknown	.	.	RecName:Probable serine/threonine-protein kinase DDB_G0282963	10.2599	9.8889	10.331	11.3015	10.1921	10.3097	11.2869	10.2614	11.4439	10.5325	11.0739	10.5559
GS1_SS_22470_05768	SCEZSD1080E02.g	.	.	.	Protease Do-like 1, chloroplastic;	13.608	12.7791	13.6687	11.3471	13.2882	13.405	9.2796	9.5361	9.4471	9.6214	9.772	9.5074
GS1_SS_19906_20593	SCEZRZ1015B08.g	.	.	Transporters	Endomembrane protein 70 (EMP70)	10.6911	10.8773	10.2383	9.8479	10.5662	10.5981	10.8534	11.0879	11.9922	12.1913	11.6527	11.3962
GS1_SS_22473_13756	SCVPCL6064A12.g	.	.	.	Pentatricopeptide repeat-containing protein At1g74850, chloroplastic; Protein PLASTID TRANSCRIPTIONALLY ACTIVE 2;	11.0593	10.5828	12.1272	12.2139	10.8042	11.4561	11.7562	11.9686	12.1947	12.5635	12.1939	12.6534
GS1_SS_22478_06529	SCMCRT2103G10.g	Lipid metabolism	Reductase	.	Delta(14)-sterol reductase; C-14 sterol reductase; Sterol C14-reductase; Protein FACKEL		9.3635	10.089		8.6361		10.6734	10.4728	11.4035	10.4823	10.9137	10.7499
GS1_SS_22475_00231	SCJLFL3015H01.g	Unknown	Uncharacterized	.	RecName:Uncharacterized protein LOC284861	10.5743	10.39	10.2359	9.0692	9.6642	11.0744	8.4109	8.8806	8.7806	8.8431	8.4861	8.5122
GS1_SS_19911_19392	SCEZSB1090F08.g	Protein metabolism	cullin	Cell cycle	Cullin-like protein	9.5375	8.533	8.9957		7.752	10.4946						
GS1_SS_22480_11107	SCEQRT2090D03.g	.	.	.	C-4 methylsterol oxidase; Methylsterol monooxygenase	9.7306	10.1873	10.338	9.2011	10.5567	9.5805	11.8589	11.6956	13.0865	11.5716	12.6059	11.7979
GS1_SS_19914_12512	SCAGLB1069F01.g	.	.	.	.	11.619	11.9246	11.8842	11.9494	11.1686	10.807	12.8128	13.5242	13.8355	12.2935	13.1302	12.9011
GS1_AS_41047_19906	SCMCLB2083G12.g	Unknown	.	.	RecName:Actin cytoskeleton-regulatory complex protein PAN1	12.5721	12.6013	12.428	12.9938	12.2103	12.7434	12.2447	11.5343	11.8906	11.9459	11.241	11.327
GS1_SS_22422_11117	SCJLFL3014B10.g	.	.	.	.	11.5873	10.5511	10.7145	8.8807	10.5376	11.7642	8.1357	7.9823	8.6293	8.3028	8.1961	8.0365
GS1_SS_22420_02744	SCACCL6011C10.g	.	.	.	WD repeat-containing protein 12	10.0966	10.0626	10.2085	8.9544	9.1064	10.3294	9.8671	9.4706	10.6187	10.1671	10.2684	9.6681
GS1_SS_22426_13510	SCSGST1069D07.g	.	.	.	.	8.8391		9.2903	8.6518	8.7565		9.4224	9.8438	9.5407	10.2703	9.5813	9.6445
GS1_SS_22417_19259	SCEPAM1015B01.g	.	.	Protein metabolism	Tryptophanyl-tRNA synthetase (EC 6.1.1.2) (Tryptophan--tRNA ligase) (TrpRS)	11.6391	11.9185	12.2157	9.7489	11.099	12.1403	12.0719	11.7404	12.6917	11.9967	12.1959	12.031
GS1_SS_22416_14188	SCQGFL3050B12.g	.	.	.	Probable ribonuclease P/MRP protein subunit POP5; Protein EMBRYO DEFECTIVE 1687			8.8648	8.8219	8.0494		8.1213	7.7646	8.7359	8.2096	8.3494	7.8552
GS1_SS_22419_14154	SCCCRZ3097D07.g	.	.	.	Uncharacterized protein C1020.05 precursor; metallophosphoesterase superfamily/purple acid phosphatase family  	9.904	10.0839	11.1213	9.4816	9.5793	9.6719	11.4793	10.6981	11.809	10.7006	11.2709	11.2633
GS1_AS_40080_14628	SCCCRT3008H11.g	.	.	Pathogenicity	R-genes							8.0912	7.6309	8.1151	8.4933	7.8374	8.0606
GS1_AS_40039_19472	SCCCRT3002E04.g	.	.	Lipid, fatty-acid and isoprenoid metabolism	3-hydroxy-3-methylglutaryl-coenzyme A reductase (EC 1.1.1.34) (HMG-CoA reductase)	9.1385	9.2411	9.0264	9.6442	9.0719	8.7403	8.6487	8.0607	7.4115	8.2056	7.4219	7.5961
GS1_SS_22442_18014	SCEZRZ1016F07.g	.	.	Carbohydrate metabolism	Alpha-amylase	9.0933		9.8415	9.4431	8.7329	8.7868	10.4247	10.2572	10.6599	10.4082	10.3032	10.5233
GS1_SS_22444_14429	SCCCLR1072A02.g	Protein metabolism	.	.	Subtilisin-like protease; Cucumisin-like serine protease;							9.1333	10.0328	10.619	9.7861	10.4312	9.4808
GS1_SS_22447_13025	SCCCLR1C03D02.g	.	.	.	Splicing factor U2af small subunit B; U2 small nuclear ribonucleoprotein auxiliary factor small subunit B; U2 snRNP auxiliary factor small subunit B; U2 auxiliary factor 35 kDa subunit B; Zinc finger CCCH-type and RNA-binding motif domain-containing 	12.9109	12.6711	13.7358	13.3899	12.875	12.7049	13.3715	13.1197	13.6625	14.0774	13.2988	13.5997
GS1_SS_22430_10734	SCJLFL3014H03.g	.	.	.	.	12.5762	12.3212	13.5579	11.6989	13.231	12.4662	7.5036	7.3254	8.2484	8.2493	7.9915	7.861
GS1_SS_22439_20532	SCAGLR2033A03.g	.	.	Pathogenicity	R-genes transduction	13.0225	13.1155	13.928	12.3733	13.7326	12.8549	14.8277	14.442	15.0297	14.6131	15.244	15.5236
GS1_SS_22437_05597	SCVPAM1056A04.g	AminoAcid and nitrogen metabolism	decarboxylase	.	Lysine decarboxylase-like protein At5g11950	9.9045	10.0891	11.4231	9.5692	9.2883	9.841	9.5119	9.608	9.3619	9.8745	10.2213	10.581
GS1_SS_22441_12160	SCEZLB1006A02.g	.	.	.	.	9.6062	9.3986	9.8882		8.7496	9.4745	9.8955	9.3301	10.3105	10.2315	10.2171	9.8896
GS1_AS_40273_17947	SCCCLB2007D02.g	Cell wall metabolism	Other glycan degradation	Cell wall	pectinesterase family protein				8.8884			7.9265	7.3159	7.7228		7.3436	7.429
GS1_AS_38607_21093	SCUTFL3072G07.g	.	.	Protein kinase	RLCK							6.9953	6.8921	7.113	7.3171	6.852	
GS1_AS_38943_16992	SCBGFL5082B06.g	Lipid metabolism	.	Lipid, fatty-acid and isoprenoid metabolism	3-oxoacyl carrier protein synthase (3-ketoacyl-acyl carrier protein synthase)					8.1675		8.0774	7.9896	8.4041	8.3994	7.7741	7.6405
GS1_AS_38917_18641	SCBGFL5079F06.g	.	.	Ubiquitination	F-box protein	9.053	9.0655	8.7447	9.6846	8.9743	9.5977	9.1575	8.1636	8.0727	7.5295	7.2923	7.6773
GS1_AS_22239_18194	SCCCHR1003B09.g	.	.	Transporters	Transportin	8.4218						7.7252	7.7593	7.6723	7.917	8.1112	7.7083
GS1_SS_19855_18301	SCQSAM2099F03.g	.	.	Protein kinase	cell cycle-related			8.7805	10.2086	8.4204		10.2892	10.6327	10.9636	10.9854	10.8254	10.6974
GS1_SS_19854_12387	SCVPRT2073F12.g	Others	ERD1 protein	.	ERD1 protein, chloroplastic;	12.1108	14.2751	13.0107	17.8562	12.7958	11.2312	12.7718	13.6711	12.6339	13.2194	12.282	12.4674
GS1_SS_17259_10862	SCSBSB1054E08.g	.	.	.	Putative ribonuclease H protein At1g65750								7.2152	7.965	9.6045	8.2387	8.9781
GS1_SS_17261_19981	SCEZLB1007H04.g	Carbohydrate metabolism	.	Cell wall	Glycosyl transferase family 8 (cell wall metabolism, starch metabolism or  lipopolysaccharide biosynthesis)	11.7143	11.8823	10.5983	11.7298	10.6915	11.0636	12.4506	12.0653	13.0981	12.7774	13.3536	13.7701
GS1_SS_19865_00230	SCSGFL1079A03.g	Unknown	uncharacterized	.	RecName:Protein tesmin/TSO1-like CXC 2; Short=AtTCX2; AltName:Protein TSO1-like 2; Short=Protein SOL2							10.5091	11.1329	12.3205	9.7351	12.1658	11.0972
GS1_SS_19861_12883	SCJFLR1073C09.g	Cell wall metabolism	Polysaccharide biosynthesis	Cell wall	Cellulose synthase (CesA)	8.7606		8.4328		8.4932		9.9807	10.4568	10.3958	11.0186	10.9129	11.296
GS1_SS_17262_00357	SCBFRZ2019C12.g	Unknown	others	.	RecName:Glycoprotein gp2; AltName:Glycoprotein X; Short=GpX; Flags: Precursor				10.731			9.7639	10.4032	10.8037	6.9807	10.203	9.6676
GS1_SS_19847_11271	SCCCFL4002B09.g	.	.	.	DEAD-box ATP-dependent RNA helicase 57	11.6191	10.2457	11.2361	9.8735	10.0976	11.0397	9.2603	9.3831	9.9047	9.7851	9.5672	9.6138
GS1_SS_17248_07440	SCSBSB1053F09.g	.	.	.	Glutamyl-tRNA(Gln) amidotransferase subunit A homolog	8.2882			8.4991			8.524	8.8294	8.837	9.1621	8.6324	8.8705
GS1_SS_19851_18640	SCCCFL4002D04.g	Carbohydrate metabolism	transferase	Carbohydrate metabolism	Starch and sucrose metabolism	15.8317	15.8617	14.986	11.7726	15.4987	15.4999	8.6194	9.6497	9.2801	8.7374	9.1273	8.6052
GS1_SS_17250_11680	SCRFRZ3054G02.g	Redox Metabolism	Multicopper oxidase	Cell wall	laccase-like protein									8.1135		8.1381	7.87
GS1_SS_17251_11418	SCRLLR1038B02.g	.	.	.	CTD small phosphatase-like protein 2; CTDSP-like 2	12.4874	12.2255	12.2997	12.8934	11.7903	12.064	11.7943	11.6948	11.7331	11.9686	11.6391	11.8771
GS1_SS_19849_13677	SCEQLB1065B12.g	.	.	.	FK506-binding protein 2-1; Peptidyl-prolyl cis-trans isomerase; PPIase; Rotamase; 15 kDa FKBP; FKBP-15-1;	11.1831	11.3878	11.3898	12.0455	10.8849	10.8939	11.8865	11.7624	12.0501	11.9151	11.8047	11.5467
GS1_SS_17252_08881	SCVPCL6042B11.g	Signal Transduction	kinase/phosphatase	Protein kinase	MAPK/MAPKK/MAPKKK	10.8213	10.7881	12.6275	12.0821	11.779	10.9926	12.868	12.732	12.7751	12.7379	12.7405	12.8918
GS1_SS_19853_08674	SCCCFL4002E09.g	.	.	.	AP-3 complex subunit beta-2; Adapter-related protein complex 3 subunit beta-2; Adaptor protein complex AP-3 beta-2 subunit; AP-3 complex beta-2 subunit; Beta3B-adaptin; Clathrin assembly protein complex 3 beta-2 large chain	8.8971		8.7945	8.1143	8.1557		9.3965	9.0499	9.999	9.6876	10.0459	9.7485
GS1_SS_17255_17759	SCSBSB1054B08.g	.	.	Pathogenicity	R-gene			9.11	8.485		8.7098	9.171	8.6342	9.0533	8.1136	8.9164	9.3969
GS1_SS_19852_01575	SCCCFL4002E08.g	.	.	.	Chromodomain-helicase-DNA-binding protein Mi-2 homolog; ATP-dependent helicase Mi-2; dMi-2							7.8978	8.1303	8.8391	9.2794	8.2569	8.768
GS1_SS_17276_20176	SCEPRZ1010E06.g	Signal Transduction	kinase/phosphatase	Protein phosphatase	serine/threonine PPM family	10.5143	13.3359	12.0019	14.8758	10.7522		11.646	13.9326	11.3787	13.312	11.3587	11.6644
GS1_SS_19887_13768	SCEZLB1014A12.g	.	.	.	HVA22-like protein k (AtHVA22k)	13.0163	13.0731	13.2473	13.9163	12.5073	12.5876	13.2351	13.0543	12.9506	12.9518	12.913	12.7984
GS1_SS_17277_05640	SCVPCL6046G06.g	.	.	.	Putative receptor-like protein kinase At1g72540	9.7515	9.5266	9.5157		8.6336		8.7157	7.8695	9.0412	9.002	8.6703	8.3857
GS1_SS_17278_03232	SCACLR1127A07.g	.	.	.	RecName:Leucine-rich repeat extensin-like protein 6; Short=AtLRX6; Short=LRR/EXTENSIN6; AltName:Cell wall hydroxyproline-rich glycoprotein; Flags: Precursor	13.286	13.6317	14.4915	14.193	13.8544	13.2261	14.4087	14.3239	14.4108	14.669	14.6245	14.7876
GS1_SS_17279_14197	SCSFSB1070D02.g	.	.	.	Putative salt tolerance-like protein At1g78600	11.9209	12.1663	12.7366	12.254	12.1497	11.5522	13.0888	14.2831	13.2725	14.6422	13.1636	13.7433
GS1_SS_17264_07752	SCSFSB1068B08.g	.	.	.	Pentatricopeptide repeat-containing protein At1g05665, mitochondrial;									7.1604		6.6447	7.0133
GS1_SS_19870_19090	SCJFLR1013H10.g	Carbohydrate metabolism	Nucleotide sugar synthesis, conversion and transport	Cell wall	UDP-glucose dehydrogenase	10.5125	11.5145	12.133	12.7072	11.3788		14.3467	15.4613	15.4972	15.4328	15.2006	15.3594
GS1_SS_19876_01220	SCCCLR1069H04.g	.	.	.	RecName:DEAD-box ATP-dependent RNA helicase 42			10.0033	9.6675	9.3155		10.3178	10.5586	10.4469	10.6732	10.4654	11.1228
GS1_SS_17268_03596	SCSFSB1068F11.g	Transport	.	.	RecName:Probable sugar phosphate/phosphate translocator At3g14410			8.8858	8.8415	8.1668		9.8116	10.5003	10.6545	9.8875	10.184	9.7961
GS1_SS_17269_08166	SCSFSB1068G11.g	Signal Transduction	Regulatory and Sensor	.	.			8.8184	9.2498	8.1332							
GS1_SS_19879_08480	SCRULR1042G12.g	.	.	.	Glutathione S-transferase 1; GST-I; GST-29; GST class-phi member 1	10.68	10.6077	9.9459	9.9688	9.9666	10.2993	9.0179	8.9018	8.7393	9.0499	8.8503	8.7144
GS1_SS_17273_06847	SCSFSB1069A11.g	.	.	.	Protein OSB2, chloroplastic OS=Arabidopsis thaliana GN=OSB2 PE=1 SV=2 		8.2804		8.6738			7.5912	6.9504	8.2184	8.2268	8.0199	7.575
GS1_AS_16990_06443	SCQGSB1066F05.g	Unknown	Uncharacterized	.	.			8.41		7.815		8.0759	8.2191	9.3352	8.8115	8.3601	8.0631
GS1_SS_19820_09213	SCCCFL3002D01.g	Unknown	uncharacterized	.	.	9.6362		10.6395		9.0705	10.1806	7.684	7.2079	7.889	7.9166	7.4063	7.8433
GS1_SS_17224_05414	SCSBSB1051H05.g	AminoAcid and nitrogen metabolism	aminotransferase	.	Tyrosine aminotransferase; TAT; L-tyrosine:2-oxoglutarate aminotransferase	13.0334	11.6381	13.5267	12.6465	12.9366	14.2689	14.2801	12.8164	13.8508	12.167	13.5596	14.0424
GS1_SS_19818_19969	SCCCFL3002B08.g	.	.	No matches	.			8.3067	8.1278			9.5296	9.5822	9.9676	11.1994	9.9814	10.6403
GS1_SS_22393_09776	SCCCLR1075D12.g	.	.	.	Transmembrane emp24 domain-containing protein 10; 21 kDa transmembrane-trafficking protein; Transmembrane protein Tmp21; Integral membrane protein p23;	12.6601	12.9455	13.2264	13.6141	12.4851	12.2606	14.047	14.0716	14.5799	14.4008	14.5206	14.2046
GS1_SS_22399_13011	SCVPLR2012A06.g	.	.	.	.	8.9473	8.9749	9.2874		7.777	8.2692	9.9934	9.8676	10.6744	9.6028	10.4083	9.7215
GS1_SS_17225_08832	SCCCRZ2002H10.g	.	.	.	.	10.4807	10.2017	10.6474	10.7567	10.0866	9.8456	11.486	11.6322	11.9881	12.041	11.983	12.0624
GS1_SS_17229_11973	SCSBSB1052C04.g	.	.	.	.		8.1392					8.024	8.2765	8.6172	8.4418	8.4507	8.4623
GS1_SS_22396_11041	SCCCCL5072F03.g	.	.	.	.	11.3469	10.7713	11.2797	10.5233	10.6771	11.2056	7.9005	7.6732	8.5361	9.0978	8.0224	8.2997
GS1_SS_19821_14557	SCCCFL3002D08.g	.	.	No matches	RecName:Uncharacterized aarF domain-containing protein kinase At1g71810, chloroplastic; Flags: Precursor		8.8296	9.2431	9.2054	9.5477			6.9599				
GS1_SS_17230_11561	SCBGLR1002G01.g	.	.	.	Katanin p80 WD40 repeat-containing subunit B1 homolog 1							9.5323	10.3499	10.8448	9.6399	10.3605	9.8351
GS1_SS_19829_09422	SCJLLR2020F09.g	.	.	.	RecName:Mediator of RNA polymerase II transcription subunit 8; AltName:Protein SETH 10	10.8308	10.449	10.4522	10.9558	9.7582	10.3574	10.901	10.9522	11.435	11.725	11.4291	11.3755
GS1_SS_19823_06108	SCJLST1027D09.g	.	.	.	Glutathione S-transferase; GST class-phi							10.7721	11.4931	11.39	8.7876	11.5389	10.2479
GS1_SS_17232_13211	SCSBSB1052D05.g	Unknown	uncharacterized	.	.	10.1649	9.8134	10.2501	9.9343	9.8118		9.7702	9.4852	9.9442	9.7454	9.6352	10.0082
GS1_SS_22400_10882	SCSFAM1077D01.g	Others	oxidoreductase	.	Uncharacterized oxidoreductase At4g09670							8.4736	8.7579	10.09	7.6873	9.6522	8.4293
GS1_SS_22378_20589	SCEZLR1031E05.g	Protein metabolism	Ribosomal protein	Protein metabolism	50S ribosomal protein L5 (Fragment)	9.3587		10.8924		9.0832	9.8561			7.4366			6.6056
GS1_SS_19805_12461	SCEPAM1106C12.g	.	.	.	.	11.5593	11.3531	11.1441	10.3724	10.4184	10.2096	7.2424		7.2903	7.4827	7.1907	7.1691
GS1_SS_17219_03738	SCSBSB1051E06.g	.	.	.	.									6.7253	7.1303	6.8155	7.0611
GS1_SS_19810_08338	SCQGLR2025H09.g	.	.	.	Aluminum-activated malate transporter 9; Short=AtALMT9	10.5919	10.6099	10.3977	11.88	9.1394	9.7227	9.2045	8.8755	9.5201	9.5721	9.1228	9.1409
GS1_SS_17220_17120	SCCCST3C04D06.g	Others	cytochrome P450 family protein	Stress	Cytochrome P450							12.012	12.4338	12.4448	10.7113	11.462	11.6301
GS1_AS_16892_20965	SCACST3159E04.g	Signal Transduction	transcription factor	Transcription Factor	MYB-like protein							7.8457	7.7043	8.4585	7.8725	7.9819	7.9968
GS1_AS_22177_00747	SCRFLR2037H07.g	Unknown	.	.	.							8.2519	7.8402	8.1278	8.9745	7.938	8.5957
GS1_AS_16909_04572	SCJFSB1012D12.g	Unknown	.	.	.							10.55	10.8446	11.4128	12.1295	10.7841	11.4522
GS1_AS_16917_18472	SCJFRZ2007A10.g	Cell wall metabolism	cell wall differentiation	Cell wall	Mannan endo-1,4-beta-mannosidase	10.4291	10.4042	10.4264	11.4866	10.1312	10.0515	10.1463	9.0507	8.9458	9.0779	8.9716	8.5803
GS1_SS_19841_21485	SCEPLB1041B08.g	.	.	Carbohydrate metabolism	Pentose and Glucuronate interconversions	10.2994	10.5788	10.1188	10.1474	9.6863	10.8174	10.6817	10.7695	10.9518	11.2086	11.0099	10.7995
GS1_SS_17241_09603	SCSBSB1053A12.g	.	.	.	Kelch repeat-containing protein At3g27220							7.5461	7.6446	8.359	7.8506	8.382	7.9475
GS1_SS_22412_11181	SCCCLR1022G08.g	.	.	.	UPF0202 protein At3g57940			8.3268				8.662	8.6175	9.9004	9.9585	9.4499	9.4033
