probe_name	transcript_name	function	structural	category	sub category 1	Circadian_24h.c	Circadian_24h.t	Circadian_28h.c	Circadian_28h.t	Circadian_32h.c	Circadian_32h.t	Circadian_36h.c	Circadian_36h.t	Circadian_40h.c	Circadian_40h.t	Circadian_44h.c	Circadian_44h.t	Circadian_48h.c	Circadian_48h.t	Circadian_52h.c	Circadian_52h.t	Circadian_56h.c	Circadian_56h.t	Circadian_60h.c	Circadian_60h.t	Circadian_64h.c	Circadian_64h.t	Circadian_68h.c	Circadian_68h.t
GS1_SS_19930_13404	SCRUFL1021B08.g	.	.	.	RecName:Flavin-containing monooxygenase FMO GS-OX-like 8; AltName:Flavin-monooxygenase glucosinolate S-oxygenase-like 8	7.272	7.0532	8.0117	7.7598	8.2265	8.3167	6.8709	7.319	8.1441	8.1867	8.56	8.6924	8.1958	8.0846	7.9183	7.9093	7.5682	7.4333	8.4421	8.3185	7.5442	7.6315	8.4463	8.4451
GS1_SS_22496_11807	SCJLFL3017G12.g	.	.	.	.			6.274	5.8427		6.2751	6.2286	6.3775	5.9222	6.0544				6.2582	7.0801		5.9765	6.1137	5.9042	5.5723	6.0463	6.3435		
GS1_SS_22501_06308	SCCCLB1004E09.g	.	.	.	.	9.1208	9.6216	9.8877	9.9519	9.548	9.5434	9.3257	9.1421	9.7085	9.8047	9.4538	9.4667	9.5278	9.6994	9.4172	9.1736	9.5912	9.3359	9.5681	9.3948	9.2526	9.3794	9.205	9.2402
GS1_SS_19935_21568	SCRLAM1006G07.g	Protein metabolism	.	Development	Putative developmental protein sina			6.529	6.7772	6.6473	6.8253			6.3428	6.4853	6.7815	6.6456	6.4816	6.5108			6.3765	6.1992	6.5588	6.8977	6.016		6.4148	6.4053
GS1_SS_22498_03053	SCEZRZ1016B08.g	.	.	.	Uncharacterized protein DDB_0266506	10.6673	10.3925	10.7546	10.637	10.5391	10.6594	10.9105	11.14	10.4739	10.2956	10.5513	10.5687	10.4131	10.3414	10.6162	10.644	10.5989	10.924	10.4844	10.6656	10.7246	10.7789	10.4966	10.2917
GS1_AS_22439_20531	SCAGLR2033A03.g	.	.	Pathogenicity	R-genes transduction			5.914	5.6487	6.0015	6.2844	6.0993		6.2702	5.8439	5.9465		6.0933	6.1034						6.4299		6.1879		
GS1_AS_41341_16391	SCEPSD2004E09.g	Protein metabolism	.	Protein metabolism	60S ribosomal protein L36 (TRP36)			7.2044	7.2153	6.7158	6.6736			7.5155	6.9752	7.1154	6.7033	7.1413	6.9793			6.5211	6.497	7.3257	7.3209		5.9849	6.5469	6.4718
GS1_AS_41226_19108	SCSBSD1031A11.g	.	.	Bioenergetics	aerobic respiration			8.0226	8.1053	7.7691	7.8889			8.076	8.1571	8.0563	8.1015	7.8675	7.7325	6.6671		7.3016	7.3728	8.5489	8.4939	6.1219	6.4165	7.5103	7.8734
GS1_AS_17069_03412	SCCCLR1048E03.g	Carbohydrate metabolism	kinase/phosphatase	.	Alpha-glucan water dikinase, chloroplastic; Starch-related R1 protein;			5.8828	5.6755	5.6925	6.084			6.1135	5.6835	6.0739	6.0161	6.0046	5.5589			5.3338	5.7352	6.0204	6.3473			5.6459	6.0207
GS1_AS_41186_16564	SCACSD1014H04.g	Others	cytochrome P450 family proteinCell wall	Stress	Cytochrome P450			6.9459	7.1657	6.7155	6.5965			6.8168	6.4343	6.7241	6.9354	6.7447	6.7439			6.2297	6.2386	6.9029	6.8771			6.5785	6.9973
GS1_AS_41203_16576	SCACSD1017F04.g	.	.	Stress	Water stress											6.4204	6.507												
GS1_AS_17088_16562	SCBFRZ2050F02.g	DNA metabolism	.	Development	Polycomb group protein FERTILIZATION-INDEPENDENT SEED 2	7.569	8.3259	9.2855	8.8034	9.4393	9.4059	8.1494	7.56	8.8708	8.2731	8.9958	8.4248	9.7448	8.7118	8.3288	8.8818	8.9159	8.0884	9.2392	8.9342	8.2506	8.1514	7.9873	8.5006
GS1_AS_41309_18350	SCCCSD1093B06.g	.	.	Protein metabolism	60S acidic ribosomal protein P1-alpha 1 (A1)			6.0739	6.1523	6.0523						6.232	6.4123	6.3243	6.6358										5.6577
GS1_AS_41338_19849	SCCCSD1096H12.g	.	.	Transcription Factor	bZIP			6.3642	6.1215	6.1303	6.0016				5.6739	6.0803	6.4011	6.1843	6.0072			5.5833	5.5636	6.487	6.397			5.7885	6.0215
GS1_AS_17096_00159	SCQSSB1077H08.g	Unknown	no matches	.	.			6.828	6.9885	6.9647	7.1405			6.9851	7.0438	6.8718	6.9016	7.5667	7.8291			6.5478	6.5329	8.0127	7.9408	6.0555	5.8526	6.6068	6.4974
GS1_AS_41247_19526	SCSBSD1033E11.g	.	.	Protein metabolism	NASCENT polypeptide associated complex alpha subunit (NAC alpha)			5.9271	5.9237	5.7437	6.1405						5.8683		5.7914						5.8245				
GS1_SS_19965_14522	SCRFFL1030A10.g	.	.	.	.	7.4048	7.091	7.8746	7.4712	7.7071	7.6579	7.924	8.3991	7.6578	7.7012	7.5538	7.6057	7.8121	7.7114	8.7209	9.0673	7.6981	7.6659	7.6162	7.9241	7.9884	8.2183	7.7071	7.0188
GS1_SS_22523_09248	SCJLFL3019G10.g	Cell wall metabolism	Polysaccharide biosynthesis	Cell wall	cellulose synthase like (CSL)	7.3344	8.1509	7.7959	8.3069	7.4263	7.2002	7.7009	7.1888	7.7139	7.8455	7.5436	7.6871	7.5202	7.7258	8.1174	8.2143	7.6598	7.0748	7.4271	6.9236	7.5506	7.0782	6.7222	7.2022
GS1_SS_19960_18997	SCVPRZ2040G05.g	.	.	Lipid, fatty-acid and isoprenoid metabolism	RecName:Sterol 3-beta-glucosyltransferase; AltName:Autophagy-related protein 26	8.4957	8.2653	9.1339	9.0436	8.9954	9.2299	8.6109	8.6789	8.8484	9.034	8.8141	8.8333	9.0685	8.9185	8.965	8.9616	8.9512	9.1963	9.1882	9.2077	8.8696	8.8365	8.7291	8.8126
GS1_AS_41348_21794	SCEPSD2005C11.g	.	.	Development	cell differentiation		6.6734	7.6807	8.0356	7.7242	7.9772			7.4981	7.4459	7.4385	7.2383	7.2261	7.488	7.3467		6.7544	6.9666	7.4951	7.3763		6.4606	7.229	6.8886
GS1_AS_41368_19118	SCEPSD2007H06.g	.	.	No matches	.				6.517							6.2051	6.298		6.0982			5.6665	6.0179	6.3346	6.6403			5.6654	5.99
GS1_SS_19943_03151	SCRUFL1118H05.b	.	.	.	.	8.6852	8.3086	9.324	9.3663	9.0184	9.4854	8.9275	9.1231	8.8114	8.8107	9.1582	8.8439	8.9058	8.8266	8.9104	8.6136	9.1421	9.4098	8.9682	8.9914	8.9553	8.8881	8.9724	8.8765
GS1_SS_22508_21280	SCRULB1060G09.g	.	.	Lipid, fatty-acid and isoprenoid metabolism	Possible proline synthetase associated protein	11.8961	11.8392	12.6581	12.5522	12.517	12.6529	12.1132	12.3361	12.4068	12.4971	12.4134	12.4127	12.4905	12.4184	11.9198	11.9383	12.5131	12.6132	12.5007	12.554	12.2858	12.2978	12.3499	12.3405
GS1_SS_19941_10086	SCRFLB1054A08.g	.	.	.	.			6.2569	6.146	6.5533	6.6939			6.5366	6.5464	6.3201	6.3732	6.6045	6.6125	6.6013		6.3093	6.0549	6.8862	6.9154			6.3178	6.4027
GS1_SS_22511_10138	SCQGAM2026D09.g	.	.	.	Kinetochore protein nuf2 (NMS complex subunit nuf2)	9.009	7.854	9.5541	8.7573	9.2581	9.5246	9.2745	9.7143	9.3492	9.3224	9.3858	9.3315	9.2681	8.4262	9.1002	8.6002	9.4411	9.517	8.9759	9.2712	8.8826	9.2736	9.0346	9.1539
GS1_SS_19948_09994	SCRUFL1021G03.b	.	.	.	Iron-sulfur assembly protein IscA-like 1, mitochondrial;	12.4495	12.7451	12.6502	12.817	12.3435	12.1854	12.5203	12.4319	12.3192	12.3446	12.4827	12.7739	12.3524	12.664	12.3197	12.1826	12.5594	12.3658	12.3535	12.1336	12.4135	12.5137	12.4099	12.2453
GS1_SS_22510_03436	SCRFLR1034H12.g	Protein metabolism	ribosomal protein	.	50S ribosomal protein L6, chloroplastic; Protein EMBRYO DEFECTIVE 2394;	14.1216	14.3502	14.4513	14.056	14.2541	13.8337	14.3805	14.1404	14.2894	14.3992	14.1947	14.6548	14.2379	14.4653	13.7954	13.84	14.2965	13.5741	13.9715	13.7798	14.223	14.2474	13.809	13.9223
GS1_SS_22516_14916	SCSFFL4015E12.g	.	.	No matches	RecName:Atherin; AltName:Sterile alpha motif domain-containing protein 1; Short=SAM domain-containing protein 1		6.3697		6.297	6.1605	6.1559	6.0584			5.9062	6.468	6.8863		6.2723	6.6359		6.018	6.1313	5.9461		6.0953	6.4969	6.3503	6.0489
GS1_SS_22513_09987	SCCCLR1066H08.g	.	.	Stress	Thioredoxin	14.9023	15.2595	15.2408	15.7748	14.9607	14.7524	15.012	14.7927	14.6585	14.873	15.1386	14.5515	14.9757	15.1466	14.7637	14.8032	15.0983	14.8256	14.9012	14.5486	14.826	14.6507	14.6162	14.6683
GS1_SS_19957_15326	SCRLFL1012E01.g	.	.	Amino acid metabolism	Phosphoribosylanthranilate isomerase	11.115	11.2483	11.3049	11.2936	11.2596	11.1855	11.273	11.5983	10.9702	11.2818	11.1652	11.4281	11.1475	11.2913	11.0354	10.8537	11.3347	11.1814	11.1955	11.1166	11.2214	11.5887	11.1968	10.9648
GS1_SS_22517_13081	SCEPLR1030D10.g	.	.	.	Developmentally-regulated GTP-binding protein 1; DRG-1; xDRG	8.4958	8.6387	8.6697	8.6817	8.4002	8.3917	8.6246	8.7957	8.2795	8.2894	8.4191	8.6379	8.3839	8.5232	8.6653	8.5867	8.6696	8.7327	8.3357	8.4677	8.4652	8.8167	8.4612	8.1175
GS1_SS_19953_00984	SCEQRT1030G12.g	.	.	.	Calpain-D; Calcium-activated neutral proteinase D; CANP D; Small optic lobes protein	6.7275	6.5891	6.6928	6.8285	6.8672	6.8045	7.0011	6.6326	6.1938	6.4725	6.4705	6.542		6.8563	7.699	7.3618	6.8171	7.1771	6.9631	6.7125	6.9447	7.2398	6.5899	
GS1_AS_22470_05767	SCEZSD1080E02.g	.	.	.	Protease Do-like 1, chloroplastic;			6.4256	6.1606		6.1911			6.5108	6.0555	6.0242	6.3578		6.1129		7.6224	5.81	5.3783	6.0701	6.0527				6.1937
GS1_AS_17121_06731	SCRFFL5036H03.g	Unknown	uncharacterized	.	RecName:Cleavage and polyadenylation specificity factor subunit 6			6.5818	6.5566	5.7649	6.6514	6.0727			5.5394	6.0399		5.8875			6.6066	5.9764	6.2616		6.2889	5.9784	5.6913	5.7158	
GS1_AS_22454_06918	SCJFFL3C02C03.g	.	.	.	Atherin; AltName:Sterile alpha motif domain-containing protein 1; Short=SAM domain-containing protein 1			6.4342	6.7906						5.7069	6.3731			5.9032										
GS1_AS_17122_01324	SCCCLR1C03A03.g	.	.	.	RecName:Serine-rich adhesin for platelets; Flags: Precursor												5.4374			6.1233								5.4126	5.9422
GS1_AS_41584_20414	SCBFLB2094D12.g	.	.	Hormone biosynthesis	Jasmonate				5.7772						5.2415				5.9076					6.3967	6.0887				
GS1_SS_22465_14378	SCJLRT1019D10.g	Unknown	Uncharacterized	.	RecName:Serine/arginine repetitive matrix protein 1	11.6619	10.7477	12.0424	11.7322	11.6826	12.1197	11.778	12.0407	11.47	11.6639	11.8553	11.3987	11.7359	11.1393	11.5123	11.7541	11.8522	12.1923	11.8339	12.0552	11.8124	11.5741	11.7121	11.8433
GS1_SS_22468_10875	SCJFHR1034D01.g	.	.	.	KH domain-containing protein At4g18375	8.7702	8.2799	8.659	8.5589	8.4699	8.6144	9.0108	9.2582	8.2034	8.5009	8.9154	9.1671	8.3144	8.3126	8.993	8.6798	8.6478	8.8254	8.5139	8.8059	8.8146	9.0985	9.0324	8.8028
GS1_SS_22466_00565	SCACLR1057B05.g	Unknown	uncharacterized	.	.	8.623	8.3058	9.2966	8.8066	8.9215	9.1262	8.8969	9.1353	9.0072	8.9938	9.2409	9.2222	8.9415	8.3804	8.6735	7.7314	9.0462	9.2127	9.0098	9.5741	8.9238	8.7991	8.9548	9.0843
GS1_SS_22450_00279	SCQGFL3051G05.g	.	.	.	.	6.8747	7.0352	7.3771	7.4156	7.5618	7.2969	6.8031	6.8154	7.4447	7.0601	7.124	7.6363	7.1904	7.3603	7.6827	7.859	6.7729	6.9237	7.3159	7.3197	7.0801	7.2199	6.9	6.8448
GS1_SS_22448_11180	SCRFLR1012G04.g	.	.	.	Centromeric protein E; CENP-E	7.6177	7.7748	7.8293	7.6579	7.5059	7.5135	7.6368	7.6518	7.5884	7.8174	7.622	7.5416	7.3555	7.3072	7.7521	7.2816	7.6767	7.6361	7.4398	7.4641	7.5488	7.9939	7.5474	7.1654
GS1_SS_22455_08532	SCVPHR1096C12.g	.	.	.	Pseudouridylate synthase 7 homolog			6.7234	6.6449	6.7354	6.4592			6.5423	6.8473	6.8715	7.241	6.684	6.5703	7.6346	7.8912	5.8333	6.1833	6.7526	6.862		5.889	6.4491	6.7003
GS1_SS_22454_06917	SCJFFL3C02C03.g	.	.	.	Atherin; AltName:Sterile alpha motif domain-containing protein 1; Short=SAM domain-containing protein 1										5.6349			6.134	6.0432					5.8579	6.1791				
GS1_SS_22459_13615	SCJLRT1018C07.g	RNA metabolism	exonuclease	.	Exosome complex exonuclease RRP42; Ribosomal RNA-processing protein 42; Exosome component 7; p8	9.9989	9.7764	10.4186	9.8899	10.1136	9.7292	10.1794	10.4256	10.2455	10.3292	10.2052	10.3576	10.1027	9.867	9.9505	9.4284	10.271	10.0857	9.9296	10.2724	9.9923	10.5859	10.1506	9.7077
GS1_AS_40676_18352	SCAGLB2047B12.g	.	.	Carbohydrate metabolism	RecName:Probable trehalose-phosphate phosphatase 10; Short=OsTPP10; AltName:Trehalose 6-phosphate phosphatase					5.6938					5.5032									6.385	6.3387				
GS1_AS_40746_21699	SCJLLB2077H11.g	.	.	Pathogenicity	R-genes									5.9827	5.4576									6.1644	6.3969				
GS1_AS_40698_19134	SCRFLB2056D02.g	.	.	Nucleic acid metabolism	DNA modification				6.345	6.6045	7.0778			6.3352	6.5922	6.5797	5.9686	6.5808	6.1792					6.4765	6.5494			5.8317	
GS1_AS_40729_19967	SCEZLB2068H05.g	Signal Transduction	kinase/phosphatase	Receptors	RSTK				5.3125						5.0456									5.9938	6.0117				
GS1_SS_22485_21393	SCQGFL3053A08.g	.	.	Transcription Factor	.	9.602	9.7265	10.1145	10.1966	9.9788	10.1435	9.7558	9.9074	9.9032	9.8695	9.9958	10.0573	9.8536	10.0124	9.5181	9.5771	9.9062	10.0234	9.8028	9.8669	9.7421	9.7313	9.7152	9.7247
GS1_SS_19918_18280	SCRLFL1011A02.g	Lipid metabolism	acyltransferase	Lipid, fatty-acid and isoprenoid metabolism	RecName:Phospholipase A(1) LCAT3; AltName:Lecithin-cholesterol acyltransferase-like 3	12.0303	12.2789	12.1193	12.1057	10.2582	11.8982	12.1276	11.7161	11.8189	11.671	11.9634	12.2832	11.6789	11.9207	11.5782	11.8561	11.819	11.5344	11.6945	11.3804	12.0479	11.8994	11.5688	11.732
GS1_SS_19916_20485	SCRUFL1020F09.g	Carbohydrate metabolism	receptor	Carbohydrate metabolism	Similarity to elicitor-inducible receptor EIR		6.2617	7.1956	6.9265	6.7153	7.3075	6.6469	7.0333	7.0351	6.8647	6.7	6.7717	6.726	6.415	6.7027		6.8819	6.8352	6.7045	7.0295	6.6967	6.6117	6.2219	6.1648
GS1_SS_22484_11922	SCJFRZ2011F04.g	.	.	.	Coatomer subunit beta-2; Beta-coat protein 2; Beta-COP 2	13.3531	13.2242	13.2947	13.1279	12.9687	12.9772	13.5034	13.5468	12.9966	12.8239	13.0695	12.9557	12.9249	12.8696	13.0234	12.845	13.2249	13.2044	12.8306	12.8265	13.203	13.435	12.9962	12.758
GS1_SS_19920_13306	SCRLFL1011C02.g	.	.	.	.	7.4843	7.0397	7.9481	7.6179	7.5942	7.9646	7.4182	7.8013	7.3557	7.9501	7.7801	7.6605	7.8457	7.6562	8.0268	8.0713	7.8105	7.8325	7.8723	7.8445	7.6548	7.7773	7.7771	7.6569
GS1_SS_22487_05676	SCBGHR1061H07.g	Unknown	.	.	RecName:Probable serine/threonine-protein kinase DDB_G0282963	6.5901	6.4812	7.6187	7.3523	7.4103	7.1576	6.687	6.8374	7.7263	7.6054	7.0501	7.3271	7.4951	7.5658	6.5643		7.2494	6.8361	7.8879	7.9848	6.5593	6.6936	7.1311	6.7677
GS1_SS_19919_06580	SCRLFL1011A08.g	.	.	.	GPI ethanolamine phosphate transferase 3; Phosphatidylinositol-glycan biosynthesis class O protein; PIG-O			6.0404						5.5787	5.5026	5.9523	5.5363	6.2241					5.8354		5.9104			6.775	6.714
GS1_SS_22470_05768	SCEZSD1080E02.g	.	.	.	Protease Do-like 1, chloroplastic;	14.6245	14.8261	14.8314	15.1018	14.5806	14.3733	14.6316	13.9289	14.5619	14.4001	14.8135	14.8437	14.6098	14.9776	14.3302	14.4913	14.6859	14.4215	14.572	14.0603	14.5459	14.3146	14.4125	14.5963
GS1_SS_19906_20593	SCEZRZ1015B08.g	.	.	Transporters	Endomembrane protein 70 (EMP70)	11.4797	11.6006	11.7109	11.8674	11.6156	11.5703	11.7523	11.6968	11.4143	11.4876	11.5239	11.7591	11.4247	11.7106	11.2862	11.3249	11.731	11.8521	11.5196	11.5673	11.5545	11.5378	11.5509	11.3405
GS1_SS_19904_14962	SCRLFL1010G05.g	Carbohydrate metabolism	synthase	Carbohydrate metabolism	Starch synthase	6.7262	6.9925	6.5116	7.5164	6.9943	7.0981	6.9749	7.5166		6.2074				7.0035	8.0582	8.4131	6.3031	7.1793	6.7697	6.4771	7.0843	6.7442	5.7875	
GS1_SS_22473_13756	SCVPCL6064A12.g	.	.	.	Pentatricopeptide repeat-containing protein At1g74850, chloroplastic; Protein PLASTID TRANSCRIPTIONALLY ACTIVE 2;	14.2379	14.3054	14.1349	14.3967	13.8178	13.37	14.278	13.9568	13.7568	13.7751	14.2467	14.3971	13.7807	14.1494	13.9696	13.8231	14.1595	13.9649	13.796	13.6012	14.1057	14.1059	13.9728	14.1125
GS1_SS_22478_06529	SCMCRT2103G10.g	Lipid metabolism	Reductase	.	Delta(14)-sterol reductase; C-14 sterol reductase; Sterol C14-reductase; Protein FACKEL	9.7773	9.6539	10.1195	9.8933	9.8387	9.8455	10.0485	10.4237	9.923	9.8698	10.15	10.3013	9.8502	9.819	9.7758	9.3432	9.8178	9.7859	9.7799	9.9192	9.8695	10.1329	9.9239	9.8678
GS1_SS_19912_05788	SCRUFL1020C08.g	Transposable element-related	.	.	Retrotransposable element Tf2 155 kDa protein type 3			6.2172	6.0852	6.0638	6.2891				5.8623	6.2358	6.0538		6.1232			5.6829		6.2054	6.0808			5.5979	5.871
GS1_SS_22475_00231	SCJLFL3015H01.g	Unknown	Uncharacterized	.	RecName:Uncharacterized protein LOC284861	10.4144	10.2973	10.8928	10.4866	10.6106	10.5581	10.5581	10.8064	10.5964	10.7001	10.7346	11.3216	10.4787	10.4331	10.1931	9.6846	10.8201	10.5825	10.4674	10.5436	10.4986	10.8155	10.6898	10.6222
GS1_SS_19911_19392	SCEZSB1090F08.g	Protein metabolism	cullin	Cell cycle	Cullin-like protein	8.4377	8.3699	8.5299	8.1738	8.6718	8.4114	8.7946	8.8422	8.4356	8.5777	8.3085	8.9268	8.4617	8.6803	8.4492	8.007	8.5871	8.516	8.5656	8.6321	8.5768	8.8041	8.4984	8.0766
GS1_SS_22480_11107	SCEQRT2090D03.g	.	.	.	C-4 methylsterol oxidase; Methylsterol monooxygenase	11.9116	12.2285	12.2483	12.4764	12.1002	12.0453	12.1127	12.0122	11.94	12.0137	11.8355	11.9809	12.0195	12.1909	11.6633	11.6698	12.0641	12.0725	12.0387	12.0593	12	11.839	11.7199	11.622
GS1_SS_19914_12512	SCAGLB1069F01.g	.	.	.	.	12.328	12.7352	12.655	12.9357	12.5579	12.3745	12.3837	12.2951	12.5491	12.4786	12.5667	12.7965	12.3379	12.6526	12.1737	12.0812	12.5295	12.5703	12.3447	12.2901	12.2775	12.4743	12.4309	12.1458
GS1_SS_19913_19333	SCJFRZ2026B04.g	.	.	Amino acid metabolism	GMP synthase					5.8908						5.7653								6.1141	6.3616				5.7583
GS1_AS_22378_20590	SCEZLR1031E05.g	Protein metabolism	Ribosomal protein	Protein metabolism	50S ribosomal protein L5 (Fragment)	6.8398	6.7574	7.3588	7.1815	7.2822	6.683	6.7187	6.8874	7.0017	7.5165	7.4489	8.2628	7.3831	7.5598	7.8081	7.7519	7.0141	6.5392	7.61	7.4979	6.6651	7.0345	7.2552	7.4524
GS1_AS_22392_15100	SCJLHR1026C05.g	Signal Transduction	quinase	Protein kinase	other										5.1319		5.8359		5.67					5.9754	6.1493				
GS1_AS_22356_16196	SCVPFL3047B03.g	Unknown	Uncharacterized	Development	cell differentiation							5.7913			5.3754		5.7628					5.2997					5.6843	5.7553	5.6272
GS1_AS_22357_00273	SCVPFL3047C04.g	Unknown	.	.	Protein CHUP1, chloroplastic OS=Arabidopsis thaliana GN=CHUP1 PE=1 SV=1 			6.6928	7.1789	6.3022	6.5816			5.7633	6.0623	6.0684	6.2291	6.7429	6.5279	6.3301	6.6164	6.0948	6.5426	6.6052		5.7919		6.092	6.2329
GS1_AS_41047_19906	SCMCLB2083G12.g	Unknown	.	.	RecName:Actin cytoskeleton-regulatory complex protein PAN1	8.9843	9.2013	10.3102	10.4287	10.3403	10.1867	8.6072	8.6349	10.238	10.2341	10.4415	10.5551	10.352	10.3372	9.3878	9.4658	9.737	9.687	10.5378	10.3602	9.2785	9.3639	10.2068	10.4866
GS1_AS_22366_21494	SCCCLR1C05A07.g	.	.	Amino acid metabolism	Aspartate kinase-homoserine dehydrogenase (EC 1.1.1.3) (HDH)		6.4664					6.8051														6.0026	6.1572		
GS1_AS_40886_18074	SCMCRT3083E07.g	.	.	Lipid, fatty-acid and isoprenoid metabolism	Phospholipase D delta (EC 3.1.4.4) (AtPLDdelta) (PLD delta)				5.9022		6.1034				5.5445	5.6725			5.7173				5.4919	5.9996	5.603				
GS1_AS_22364_05425	SCVPFL3047B02.b	Unknown	.	.	.									5.7104	5.5426				5.6755				5.362						
GS1_SS_22422_11117	SCJLFL3014B10.g	.	.	.	.	12.1262	12.5642	12.4961	12.6247	12.3225	11.8892	12.3319	11.8801	12.2047	12.1166	12.1745	12.7119	12.1519	12.5988	11.6331	11.7168	12.2397	12.0918	12.1756	12.1461	12.2416	12.1709	11.9936	12.0326
GS1_SS_22420_02744	SCACCL6011C10.g	.	.	.	WD repeat-containing protein 12	8.8952	8.2105	9.0814	8.5445	9.0841	9.4217	9.1628	9.5871	8.9193	9.0428	9.0588	8.969	8.8426	8.361	8.9108	8.6349	8.9798	9.2856	8.8236	9.266	9.0745	9.1089	9.0912	8.6492
GS1_SS_22426_13510	SCSGST1069D07.g	.	.	.	.	8.0933	7.9466	8.4199	8.5057	8.3078	8.5281	8.2175	8.3622	8.1598	8.3317	8.492	8.6049	8.3079	8.2304	8.4513	8.3177	8.361	8.492	8.388	8.3758	8.2039	8.3486	8.3273	8.2948
