probe_name	transcript_name	function	structural	category	sub category 1	15S_E1.1.C_C.030409_0.96.c	15S_E1.1.C_C.030409_0.96.t	15S_F1.1.C_C.030409_0.96.c	15S_F1.1.C_C.030409_0.96.t	36S_E1.1.C_C.030409_0.96.c	36S_E1.1.C_C.030409_0.96.t	36S_F1.1.C_C.030409_0.96.c	36S_F1.1.C_C.030409_0.96.t	79S_E1.1.C_C.030409_0.96.c	79S_E1.1.C_C.030409_0.96.t	79S_F1.1.C_C.030409_0.96.c	79S_F1.1.C_C.030409_0.96.t
GS1_AS_17076_15133	SCCCCL5071D02.g	.	.	Cell cycle	Histone deacetylase 6 (HD6)	6.2463	6.416			6.176	6.375			7.2611			
GS1_AS_17088_16562	SCBFRZ2050F02.g	DNA metabolism	.	Development	Polycomb group protein FERTILIZATION-INDEPENDENT SEED 2	7.2938	7.1203	10.2565	11.2877	7.1429	6.9636	12.7297	9.8798	7.099	7.1166	8.1834	11.159
GS1_AS_41338_19849	SCCCSD1096H12.g	.	.	Transcription Factor	bZIP	6.1297		6.0665	5.9963	5.7081	6.3017			6.8835			
GS1_AS_17096_00159	SCQSSB1077H08.g	Unknown	no matches	.	.	7.0506	7.1953	7.2827	7.4756	7.5287	6.9215	7.9385	7.7803	8.9284	9.0797	8.3657	8.9321
GS1_AS_41247_19526	SCSBSD1033E11.g	.	.	Protein metabolism	NASCENT polypeptide associated complex alpha subunit (NAC alpha)	6.4254	6.5656	5.7782		6.3322				7.039			
GS1_AS_17093_02422	SCCCLR1C10E12.g	Protein metabolism	.	.	60S ribosomal protein L7-4			6.9403	7.0802			6.954	6.8588			7.1888	8.3369
GS1_SS_19965_14522	SCRFFL1030A10.g	.	.	.	.	12.004	11.0011	7.1119	7.0931	11.262	10.6213		7.5125	10.7707	9.5592	6.9129	6.7849
GS1_SS_22523_09248	SCJLFL3019G10.g	Cell wall metabolism	Polysaccharide biosynthesis	Cell wall	cellulose synthase like (CSL)	10.8612	10.2304			11.1986	10.5061	8.7696	6.6281	10.5323	9.4555		
GS1_SS_19960_18997	SCVPRZ2040G05.g	.	.	Lipid, fatty-acid and isoprenoid metabolism	RecName:Sterol 3-beta-glucosyltransferase; AltName:Autophagy-related protein 26	9.5824	9.849	9.0598	8.6279	9.2058	10.0897	7.9766	9.1463	8.9981	9.8704	9.689	8.6195
GS1_AS_41348_21794	SCEPSD2005C11.g	.	.	Development	cell differentiation	7.3922	7.4772	6.9383	7.2586	8.2753	7.4666	9.4544	7.6479	9.4485	9.354	7.7777	7.957
GS1_SS_22509_13529	SCCCCL4015C02.g	.	.	.	RecName:Immediate-early protein 2; Short=IE2	10.8654	10.0277			11.4081	9.9905			10.8663	9.9092		
GS1_SS_19943_03151	SCRUFL1118H05.b	.	.	.	.	10.9261	11.293	9.3849	9.5193	10.9403	11.6256	9.4603	9.7995	10.8613	11.1596	9.7503	9.718
GS1_SS_22508_21280	SCRULB1060G09.g	.	.	Lipid, fatty-acid and isoprenoid metabolism	Possible proline synthetase associated protein	12.6065	12.9324	12.3399	12.179	12.7836	13.1549	12.305	12.6574	13.047	13.4244	12.4573	12.4968
GS1_SS_19941_10086	SCRFLB1054A08.g	.	.	.	.	12.0367	12.0562	7.025	8.9057	12.4343	12.2134		8.9504	12.6784	12.663	7.3991	7.3289
GS1_SS_22511_10138	SCQGAM2026D09.g	.	.	.	Kinetochore protein nuf2 (NMS complex subunit nuf2)	10.8843	10.7346	9.1649	9.2649	10.0947	11.8412	8.5942	10.5264	9.5129	9.1249	8.314	8.6898
GS1_SS_19948_09994	SCRUFL1021G03.b	.	.	.	Iron-sulfur assembly protein IscA-like 1, mitochondrial;	11.797	13.0199	11.8708	12.5343	13.391	13.6108	14.0385	12.0534	11.9799	13.6477	11.4775	12.4216
GS1_SS_22510_03436	SCRFLR1034H12.g	Protein metabolism	ribosomal protein	.	50S ribosomal protein L6, chloroplastic; Protein EMBRYO DEFECTIVE 2394;	11.7187	11.6161	15.0355	14.7393	11.6918	11.7878	13.7103	15.0986	10.7418	11.1418	14.3287	13.8921
GS1_SS_19945_10987	SCEPRZ1008D01.g	.	.	.	.	8.545	8.9113	7.564	7.3458	8.6824	8.7465		7.7276	6.9921			
GS1_SS_22516_14916	SCSFFL4015E12.g	.	.	No matches	RecName:Atherin; AltName:Sterile alpha motif domain-containing protein 1; Short=SAM domain-containing protein 1	7.0252	6.694			6.2138	6.2196			7.0911		7.0645	
GS1_SS_22513_09987	SCCCLR1066H08.g	.	.	Stress	Thioredoxin	16.3111	16.0369	15.1765	15.2096	17.8569	15.699	17.4857	15.442	16.8359	16.579	15.8953	16.1155
GS1_SS_19957_15326	SCRLFL1012E01.g	.	.	Amino acid metabolism	Phosphoribosylanthranilate isomerase	12.2257	12.186	11.4166	10.7338	12.0647	12.0022	10.5057	10.779	12.3076	12.1505	11.1767	10.5949
GS1_SS_22517_13081	SCEPLR1030D10.g	.	.	.	Developmentally-regulated GTP-binding protein 1; DRG-1; xDRG	8.8545	9.4707	8.3617	9.1282	10.331	10.0508	9.8479	8.59	8.8737	10.1989	8.4714	9.3152
GS1_SS_19953_00984	SCEQRT1030G12.g	.	.	.	Calpain-D; Calcium-activated neutral proteinase D; CANP D; Small optic lobes protein	9.6001	9.9956	7.0138	6.9989	10.2085	10.5595		7.525	9.7513	10.4761	7.5856	6.9037
GS1_AS_22487_05675	SCBGHR1061H07.g	Unknown	.	.	RecName:Probable serine/threonine-protein kinase DDB_G0282963	7.5746				7.0941	6.7676						
GS1_SS_22507_10969	SCJLFL3018D03.g	.	.	.	RecName:Protein MEI2-like 2; Short=OML2; AltName:MEI2-like protein 2	6.5084	6.4879			6.7006	6.7179			7.3447	7.4343		
GS1_AS_22470_05767	SCEZSD1080E02.g	.	.	.	Protease Do-like 1, chloroplastic;			6.4399	6.9991			8.7749	6.0748			8.3808	9.3962
GS1_AS_22479_18469	SCVPLB1015C04.g	.	.	Pathogenicity	R-gene				6.7359			8.4199	6.2546				7.3039
GS1_AS_17126_18876	SCCCLR1080G11.g	.	.	Phosphatases	Serine/Threonine Phosphatases	6.8931	7.2479			7.2229	6.5563					6.33	6.6693
GS1_SS_22465_14378	SCJLRT1019D10.g	Unknown	Uncharacterized	.	RecName:Serine/arginine repetitive matrix protein 1	12.4215	13.9855	11.703	12.1996	13.1571	14.1569	12.3289	12.8583	12.7069	13.8951	13.0046	13.0064
GS1_SS_22464_12030	SCSBST3096B01.g	.	.	.	SPX and EXS domain-containing protein 1	6.6041	6.8207	6.0143	5.9535	7.2335	7.292		6.6096				
GS1_SS_22468_10875	SCJFHR1034D01.g	.	.	.	KH domain-containing protein At4g18375	11.1889	10.7587	9.3876	8.4976	11.343	11.1644	8.0064	9.788	11.3814	11.172	9.4195	8.3979
GS1_SS_22466_00565	SCACLR1057B05.g	Unknown	uncharacterized	.	.	12.2142	13.1704	11.0103	11.0757	11.9532	13.7491	10.4306	12.0845	12.7735	13.9455	12.9638	12.7101
GS1_SS_22450_00279	SCQGFL3051G05.g	.	.	.	.	7.9855	9.1297	6.8495	6.9067	8.7967	9.8506		7.9084	8.6378	9.5053	7.3537	7.0733
GS1_SS_22448_11180	SCRFLR1012G04.g	.	.	.	Centromeric protein E; CENP-E	10.9963	11.4462	6.7396	6.6361	11.5702	11.3804		7.9067	11.5736	11.7456	7.4406	7.6477
GS1_SS_22455_08532	SCVPHR1096C12.g	.	.	.	Pseudouridylate synthase 7 homolog	9.0078	8.6675	7.0679		8.7455	8.7404		7.2509	8.0657	8.193		
GS1_SS_22462_11244	SCJLFL3015H09.g	.	.	.	.	12.2305	12.4495			11.9251	12.3347			11.4827	11.7325		
GS1_SS_22459_13615	SCJLRT1018C07.g	RNA metabolism	exonuclease	.	Exosome complex exonuclease RRP42; Ribosomal RNA-processing protein 42; Exosome component 7; p8	13.2647	11.4571	11.5159	10.8344	13.1985	11.6429	10.2854	11.6269	13.1286	11.3895	11.6333	11.0385
GS1_AS_22341_18030	SCCCRT1002H03.g	.	.	Protein metabolism	PASTICCINO 1-D (PASTICCINO 1-A)			6.1379					6.3498	6.9504	7.5305	6.8804	
GS1_AS_40607_15540	SCRFRT3059D09.g	.	.	Pathogenicity	R-genes									7.2076	7.2166		
GS1_AS_40698_19134	SCRFLB2056D02.g	.	.	Nucleic acid metabolism	DNA modification									7.3614	7.5542		
GS1_SS_22485_21393	SCQGFL3053A08.g	.	.	Transcription Factor	.	11.4794	11.2828	9.694	9.7471	11.5418	11.7833	9.9327	10.3281	11.4402	11.7093	10.9508	10.5612
GS1_SS_19918_18280	SCRLFL1011A02.g	Lipid metabolism	acyltransferase	Lipid, fatty-acid and isoprenoid metabolism	RecName:Phospholipase A(1) LCAT3; AltName:Lecithin-cholesterol acyltransferase-like 3	14.5445	13.9471	11.651	12.2237	15.5385	13.2913	13.9991	12.9895	14.5582	13.5613	11.5674	12.6204
GS1_SS_19916_20485	SCRUFL1020F09.g	Carbohydrate metabolism	receptor	Carbohydrate metabolism	Similarity to elicitor-inducible receptor EIR	11.5233	11.9006	7.689	7.7589	11.5827	11.5295		8.1533	12.0603	11.765	6.9905	7.0864
GS1_SS_22484_11922	SCJFRZ2011F04.g	.	.	.	Coatomer subunit beta-2; Beta-coat protein 2; Beta-COP 2	14.7215	14.9544	13.8342	13.9463	14.9219	15.1628	13.7195	14.1989	14.9988	15.1135	13.8713	14.407
GS1_SS_19920_13306	SCRLFL1011C02.g	.	.	.	.	8.8829	8.1747	8.0488	8.2668	7.7146	7.8771	8.089	8.0843	8.4131	8.0178	8.1211	8.2472
GS1_SS_19919_06580	SCRLFL1011A08.g	.	.	.	GPI ethanolamine phosphate transferase 3; Phosphatidylinositol-glycan biosynthesis class O protein; PIG-O	7.7281	7.7365			7.073	7.9974			6.5644			
GS1_SS_22487_05676	SCBGHR1061H07.g	Unknown	.	.	RecName:Probable serine/threonine-protein kinase DDB_G0282963	15.4803	14.2485	7.101	6.8223	14.9759	14.4326	8.4217	7.7297	15.4258	13.9593	7.8051	7.6188
GS1_SS_22470_05768	SCEZSD1080E02.g	.	.	.	Protease Do-like 1, chloroplastic;	12.4608	12.5498	14.3249	14.3506	13.8896	12.4733	15.2194	14.0846	12.4242	12.9358	13.7615	14.3051
GS1_SS_19906_20593	SCEZRZ1015B08.g	.	.	Transporters	Endomembrane protein 70 (EMP70)	13.3409	13.2077	10.9333	10.9023	13.3961	13.356	11.6602	11.0516	13.7219	13.2153	10.961	11.0448
GS1_SS_22474_01087	SCAGFL1089C05.g	Unknown	.	.	.	16.1129	15.7135			15.4635	15.0573			15.2926	15.6361		
GS1_SS_19904_14962	SCRLFL1010G05.g	Carbohydrate metabolism	synthase	Carbohydrate metabolism	Starch synthase	8.024	8.8352		6.4994	8.4232	8.9661		8.2598	8.2266	9.2629	6.7476	7.4436
GS1_SS_22473_13756	SCVPCL6064A12.g	.	.	.	Pentatricopeptide repeat-containing protein At1g74850, chloroplastic; Protein PLASTID TRANSCRIPTIONALLY ACTIVE 2;	12.6916	13.2277	13.5444	13.489	13.3728	13.6947	14.2547	14.21	12.8567	13.5221	13.3575	13.4823
GS1_SS_19912_05788	SCRUFL1020C08.g	Transposable element-related	.	.	Retrotransposable element Tf2 155 kDa protein type 3			6.2024	6.5466		6.571		6.9402	7.3666	7.7966	6.8467	7.1281
GS1_SS_22478_06529	SCMCRT2103G10.g	Lipid metabolism	Reductase	.	Delta(14)-sterol reductase; C-14 sterol reductase; Sterol C14-reductase; Protein FACKEL	13.4727	13.3671	11.8668	12.0948	13.5164	13.5025	11.9243	12.1261	12.3102	12.1596	10.6625	10.7065
GS1_SS_22475_00231	SCJLFL3015H01.g	Unknown	Uncharacterized	.	RecName:Uncharacterized protein LOC284861	9.8489	10.3205	12.1482	12.1509	10.5876	10.8753	10.908	12.1799	10.408	11.1331	11.3896	11.2618
GS1_SS_19911_19392	SCEZSB1090F08.g	Protein metabolism	cullin	Cell cycle	Cullin-like protein	8.4119	8.7097	9.1484	8.6431	7.9849	8.2534		9.7116	7.9968	8.2354	8.7488	7.2905
GS1_SS_22480_11107	SCEQRT2090D03.g	.	.	.	C-4 methylsterol oxidase; Methylsterol monooxygenase	14.2768	14.2795	11.3575	11.8482	14.5526	14.8028	12.9763	12.1985	14.3882	14.3855	11.0902	11.3269
GS1_SS_19914_12512	SCAGLB1069F01.g	.	.	.	.	13.3199	13.0464	11.6645	12.3421	14.0969	12.8727	12.6957	12.4548	14.2492	12.8415	11.5816	12.0255
GS1_SS_19913_19333	SCJFRZ2026B04.g	.	.	Amino acid metabolism	GMP synthase								6.5454	6.7875		6.7443	7.0962
GS1_AS_22378_20590	SCEZLR1031E05.g	Protein metabolism	Ribosomal protein	Protein metabolism	50S ribosomal protein L5 (Fragment)			7.7654	7.8502				7.8783			6.8378	
GS1_AS_41047_19906	SCMCLB2083G12.g	Unknown	.	.	RecName:Actin cytoskeleton-regulatory complex protein PAN1	10.0223	10.0617	9.6285	9.605	9.8256	9.9192	10.7734	9.8339	10.8158	10.8868	10.1154	10.4391
GS1_SS_22422_11117	SCJLFL3014B10.g	.	.	.	.	10.5535	9.9186	11.9967	11.9706	10.4202	10.1348	13.1184	12.3889	12.2483	11.8164	12.1382	12.4453
GS1_SS_22420_02744	SCACCL6011C10.g	.	.	.	WD repeat-containing protein 12	11.388	10.7236	9.3044	9.1327	11.179	10.783	7.3316	10.0725	11.9232	10.7646	10.2991	10.0322
GS1_SS_22425_14317	SCJLFL3014C12.g	Unknown	uncharacterized	.	.	8.5108	10.5555			10.3408	11.4985	8.7946	6.3764				
GS1_SS_22426_13510	SCSGST1069D07.g	.	.	.	.	10.3809	11.1725	8.3242	7.9202	10.645	11.6828	9.3541	8.7775	9.666	10.4122	7.7448	7.5438
GS1_SS_22417_19259	SCEPAM1015B01.g	.	.	Protein metabolism	Tryptophanyl-tRNA synthetase (EC 6.1.1.2) (Tryptophan--tRNA ligase) (TrpRS)	13.4905	13.175	12.9842	12.8939	13.6968	13.4133	11.0662	13.4403	13.6845	12.9006	12.642	12.2277
GS1_SS_22416_14188	SCQGFL3050B12.g	.	.	.	Probable ribonuclease P/MRP protein subunit POP5; Protein EMBRYO DEFECTIVE 1687	10.4116	9.0086	7.6982	7.2592	10.0043	9.2383		7.0058	10.1361	9.1321	7.9124	7.6183
GS1_SS_22419_14154	SCCCRZ3097D07.g	.	.	.	Uncharacterized protein C1020.05 precursor; metallophosphoesterase superfamily/purple acid phosphatase family  	10.3441	9.4963	12.1407	11.7548	11.167	9.375	11.5837	12.2971	10.9509	9.1989	11.5446	11.3758
GS1_SS_22418_12080	SCACAM2042E06.g	.	.	.	.	7.8651	8.087		6.1266	7.9531	8.381		11.1453	7.7915	7.9502		
GS1_AS_40080_14628	SCCCRT3008H11.g	.	.	Pathogenicity	R-genes	7.4364	8.2423	7.1678	7.219	8.418	9.0889	8.1182	7.7389	9.4932	10.2129	7.893	8.2981
GS1_AS_40062_15619	SCCCRT3006B10.g	.	.	Phosphatases	Tyrosine phosphatase	6.2669							6.6031	7.3501	7.7792		
GS1_AS_39962_14835	SCSGFL4196H05.g	Signal Transduction	kinase/phosphatase	Receptors	Receptor Ser/Thr kinase	6.3925				6.6558	6.7517			7.7025	8.2496		
GS1_AS_40039_19472	SCCCRT3002E04.g	.	.	Lipid, fatty-acid and isoprenoid metabolism	3-hydroxy-3-methylglutaryl-coenzyme A reductase (EC 1.1.1.34) (HMG-CoA reductase)	7.2488	8.0539	6.1193	6.5338	6.7852	7.8518	7.3773	7.0754	6.9329	7.4738		6.5969
GS1_AS_39754_21850	SCRLFL4109E11.g	.	.	Protein metabolism	ELF protein (RE07731p)					6.5029				7.3952	7.7432	6.7955	
GS1_SS_22443_04012	SCJLFL3014E05.g	Unknown	no matches	.		12.1315	12.8053	7.2698	7.8905	12.1283	13.7796		9.0816	11.9683	12.9794		
GS1_SS_22442_18014	SCEZRZ1016F07.g	.	.	Carbohydrate metabolism	Alpha-amylase	12.4321	12.1244	10.3197	9.7725	12.0548	12.393	10.1202	10.0509	11.9639	11.4624	10.6693	9.7333
GS1_SS_22445_14311	SCRLAM1012D11.g	.	.	.	.			6.6357	6.9993	6.2551	7.5213		7.4855		7.3755	6.1327	6.9779
GS1_SS_22444_14429	SCCCLR1072A02.g	Protein metabolism	.	.	Subtilisin-like protease; Cucumisin-like serine protease;	14.2784	13.927	7.0275	7.1561	14.1735	13.9268		7.8822	14.4306	13.81	8.2143	7.7989
GS1_SS_22447_13025	SCCCLR1C03D02.g	.	.	.	Splicing factor U2af small subunit B; U2 small nuclear ribonucleoprotein auxiliary factor small subunit B; U2 snRNP auxiliary factor small subunit B; U2 auxiliary factor 35 kDa subunit B; Zinc finger CCCH-type and RNA-binding motif domain-containing 	14.7052	14.2238	13.4495	13.2599	14.8105	14.9262	14.0213	13.8021	14.9935	15.1121	13.9645	13.7044
GS1_SS_22430_10734	SCJLFL3014H03.g	.	.	.	.	11.9761	12.7191	14.537	14.4657	11.8444	12.4337	15.277	14.4235	11.9469	13.0348	13.9032	13.7825
GS1_SS_22439_20532	SCAGLR2033A03.g	.	.	Pathogenicity	R-genes transduction	14.8728	15.5096	14.2492	14.4372	16.6117	15.4813	15.6553	14.3673	15.0069	15.863	14.249	14.45
GS1_SS_22437_05597	SCVPAM1056A04.g	AminoAcid and nitrogen metabolism	decarboxylase	.	Lysine decarboxylase-like protein At5g11950	11.973	9.8542	13.6074	11.9432	11.4709	10.2401	12.9211	12.0642	12.1926	10.4904	13.3566	11.0554
GS1_SS_22441_12160	SCEZLB1006A02.g	.	.	.	.	12.9669	12.3585	9.9601	10.1396	12.8325	12.943	8.7934	10.5869	13.2232	12.8601	10.4143	10.5879
GS1_SS_22440_02372	SCSBFL5021E02.g	.	.	.	Probable NADH kinase		6.4563			7.4596	7.365			6.6139			
GS1_AS_22309_06829	SCQGAM2108B09.g	.	.	.	Myosin IH heavy chain	7.4922	7.367	6.7463	6.8129	7.6229	7.3684	7.6175	7.3752	8.487	8.3159	7.5503	7.5312
GS1_AS_40450_20297	SCRLLB2031B03.g	Unknown	.	Lipid, fatty-acid and isoprenoid metabolism	(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-) ((3R)-hydroxymyristoy											6.7975	6.7733
GS1_AS_22313_03071	SCQGFL3056F02.g	.	.	.	B3 domain-containing protein Os12g0592300 OS=Oryza sativa subsp. japonica GN=Os12g0592300 PE=2 SV=2 					6.5889			6.6847	7.3042	7.4195	7.0009	7.4123
GS1_AS_40273_17947	SCCCLB2007D02.g	Cell wall metabolism	Other glycan degradation	Cell wall	pectinesterase family protein	7.1992	7.2276										
GS1_AS_40358_20503	SCEQLB2017H02.g	.	.	Pathogenicity	R-genes	6.4095		6.6177	6.7902	6.5745	6.8197		7.0306	8.7187	9.1793	7.6213	8.3051
GS1_AS_40313_18994	SCBGLB2012C11.g	.	.	Stress	Water stress	6.8425	7.049	6.4759		6.8284	6.7639	7.6325	6.939	7.5026	7.6636	7.715	8.2256
GS1_AS_38607_21093	SCUTFL3072G07.g	.	.	Protein kinase	RLCK	7.9329	7.6756	8.1149	8.1454	7.9765	7.7942	8.9811	8.3182	9.1634	9.0578	8.5602	8.8567
GS1_AS_39105_16030	SCCCFL5061H09.g	.	.	Bioenergetics	glycolysis				6.4837	6.0628		7.2201	6.5093				6.548
GS1_AS_38930_19350	SCBGFL5081A12.g	.	.	Receptors	Receptor Ser/Thr kinase	6.6526	6.6509	6.7858	7.1541	7.1019	6.8675	7.6895	7.1335	8.5157	8.356	7.3531	7.2468
GS1_AS_38943_16992	SCBGFL5082B06.g	Lipid metabolism	.	Lipid, fatty-acid and isoprenoid metabolism	3-oxoacyl carrier protein synthase (3-ketoacyl-acyl carrier protein synthase)	8.7218	8.7436	7.8338	7.7526	9.0165	8.7919	9.0116	8.3827	8.9401	9.0377	8.6023	8.315
GS1_AS_38885_17571	SCSFFL4086D11.g	.	.	Receptors	RSTK	6.0684		6.6731	6.782	6.0326			7.0044	7.7048	7.8543	6.8447	7.1183
GS1_AS_38917_18641	SCBGFL5079F06.g	.	.	Ubiquitination	F-box protein	7.5318	7.4752	7.5328	7.505	7.5118	7.6374	8.2676	7.4061	8.5162	8.6699	8.0907	8.2097
GS1_AS_22239_18194	SCCCHR1003B09.g	.	.	Transporters	Transportin				6.3162	5.887		6.9215	6.2656			6.8433	7.087
GS1_AS_16939_16036	SCACCL6008A11.g	.	.	Stress	Water stress	8.3654	8.64	7.0704	7.0952	8.3865	8.7969		7.4183	8.5899	8.9073	7.5677	7.3056
GS1_AS_16947_05115	SCCCLR1070E11.g	Unknown	no matches	.	.	7.7241	8.3994	6.3244	6.1464	6.6774	7.9118	7.9006		7.1334	7.6647		6.9744
GS1_SS_19855_18301	SCQSAM2099F03.g	.	.	Protein kinase	cell cycle-related	11.8693	11.9415	10.3235	10.1867	11.7212	12.2087	10.935	10.0267	11.9666	11.8877	10.4249	10.5977
GS1_SS_19854_12387	SCVPRT2073F12.g	Others	ERD1 protein	.	ERD1 protein, chloroplastic;	11.5179	11.7894	15.3749	12.5632	13.5633	11.6457	15.2305	14.6176	11.7065	11.4785	15.5675	11.5456
GS1_SS_17261_19981	SCEZLB1007H04.g	Carbohydrate metabolism	.	Cell wall	Glycosyl transferase family 8 (cell wall metabolism, starch metabolism or  lipopolysaccharide biosynthesis)	14.243	13.3985	11.5577	11.9421	14.0183	13.4607	11.7899	12.1334	14.5549	13.1775	11.9554	11.7794
GS1_SS_19865_00230	SCSGFL1079A03.g	Unknown	uncharacterized	.	RecName:Protein tesmin/TSO1-like CXC 2; Short=AtTCX2; AltName:Protein TSO1-like 2; Short=Protein SOL2	15.1533	15.4525	10.8335	11.692	15.3102	15.8623	9.3775	9.2362	15.3596	15.4753	10.4581	10.4731
GS1_SS_17262_00357	SCBFRZ2019C12.g	Unknown	others	.	RecName:Glycoprotein gp2; AltName:Glycoprotein X; Short=GpX; Flags: Precursor	15.6654	15.386			16.6684	15.113	8.8369		16.3185	13.743		
GS1_SS_19861_12883	SCJFLR1073C09.g	Cell wall metabolism	Polysaccharide biosynthesis	Cell wall	Cellulose synthase (CesA)	13.1697	13.7545	11.7048	10.829	13.3071	14.0732	11.497	11.4467	13.7474	14.1713	12.0841	11.5247
