probe_name	transcript_name	function	structural	category	sub category 1	A1V2E3_0.80.c	A1V2E3_0.80.t	A1V2E5_0.80.c	A1V2E5_0.80.t	A1V2E6_0.80.c	A1V2E6_0.80.t
GS1_SS_22447_13025	SCCCLR1C03D02.g	.	.	.	Splicing factor U2af small subunit B; U2 small nuclear ribonucleoprotein auxiliary factor small subunit B; U2 snRNP auxiliary factor small subunit B; U2 auxiliary factor 35 kDa subunit B; Zinc finger CCCH-type and RNA-binding motif domain-containing 	14.1303	14.0488	14.5718	14.8784	15.1312	15.0726
GS1_SS_22430_10734	SCJLFL3014H03.g	.	.	.	.	14.9921	14.9419	15.5067	15.1815	16.0299	14.0564
GS1_SS_22439_20532	SCAGLR2033A03.g	.	.	Pathogenicity	R-genes transduction	15.0831	14.9237	16.2674	15.7307	15.8219	16.2367
GS1_SS_22437_05597	SCVPAM1056A04.g	AminoAcid and nitrogen metabolism	decarboxylase	.	Lysine decarboxylase-like protein At5g11950	13.7997	14.2344	13.7644	13.8846	15.3434	12.0728
GS1_SS_22441_12160	SCEZLB1006A02.g	.	.	.	.	7.9756	7.3595	10.4202	8.8079	8.8387	7.9661
GS1_SS_22440_02372	SCSBFL5021E02.g	.	.	.	Probable NADH kinase			6.8748	7.1641	6.6776	6.4449
GS1_AS_22313_03071	SCQGFL3056F02.g	.	.	.	B3 domain-containing protein Os12g0592300 OS=Oryza sativa subsp. japonica GN=Os12g0592300 PE=2 SV=2 			6.4084	6.6841	7.0666	
GS1_AS_40273_17947	SCCCLB2007D02.g	Cell wall metabolism	Other glycan degradation	Cell wall	pectinesterase family protein			6.3311	7.4612		7.9262
GS1_AS_40358_20503	SCEQLB2017H02.g	.	.	Pathogenicity	R-genes			6.7884	6.5619		6.6006
GS1_AS_38607_21093	SCUTFL3072G07.g	.	.	Protein kinase	RLCK	6.5488	6.8658	7.4857	7.7846	7.306	7.6965
GS1_AS_39105_16030	SCCCFL5061H09.g	.	.	Bioenergetics	glycolysis	7.423	7.3153	7.9562	8.2769	8.5912	7.6743
GS1_AS_38943_16992	SCBGFL5082B06.g	Lipid metabolism	.	Lipid, fatty-acid and isoprenoid metabolism	3-oxoacyl carrier protein synthase (3-ketoacyl-acyl carrier protein synthase)	10.92	10.8545	11.925	12.116	12.5973	12.1896
GS1_AS_38917_18641	SCBGFL5079F06.g	.	.	Ubiquitination	F-box protein	6.3238	6.7204	7.6173	7.1744	6.8598	7.4633
GS1_AS_16939_16036	SCACCL6008A11.g	.	.	Stress	Water stress	7.5547	7.5885	8.4947	8.6189	8.9582	8.3944
GS1_SS_19855_18301	SCQSAM2099F03.g	.	.	Protein kinase	cell cycle-related	10.0164	10.3146	11.5729	12.1108	11.7312	12.2971
GS1_SS_19854_12387	SCVPRT2073F12.g	Others	ERD1 protein	.	ERD1 protein, chloroplastic;	12.2266	12.3253	14.8675	17.3166	12.8167	17.6095
GS1_SS_17261_19981	SCEZLB1007H04.g	Carbohydrate metabolism	.	Cell wall	Glycosyl transferase family 8 (cell wall metabolism, starch metabolism or  lipopolysaccharide biosynthesis)	11.2663	11.8114	13.6708	13.339	13.1731	13.0757
GS1_SS_19865_00230	SCSGFL1079A03.g	Unknown	uncharacterized	.	RecName:Protein tesmin/TSO1-like CXC 2; Short=AtTCX2; AltName:Protein TSO1-like 2; Short=Protein SOL2	7.1114	7.1123	8.5747	7.5463	8.7201	
GS1_SS_17262_00357	SCBFRZ2019C12.g	Unknown	others	.	RecName:Glycoprotein gp2; AltName:Glycoprotein X; Short=GpX; Flags: Precursor	10.2337	9.2356	11.0051		11.885	8.3167
GS1_SS_19861_12883	SCJFLR1073C09.g	Cell wall metabolism	Polysaccharide biosynthesis	Cell wall	Cellulose synthase (CesA)	10.2031	10.2439	13.0903	10.9416	12.0082	10.1013
GS1_SS_17263_13950	SCSFSB1068B03.g	.	.	.	Putative potassium transporter 8; OsHAK8		6.5941	7.3082	7.065	7.2375	6.9637
GS1_SS_19847_11271	SCCCFL4002B09.g	.	.	.	DEAD-box ATP-dependent RNA helicase 57	10.8674	11.4909	10.6003	12.1897	11.3025	11.6046
GS1_SS_17248_07440	SCSBSB1053F09.g	.	.	.	Glutamyl-tRNA(Gln) amidotransferase subunit A homolog	8.5437	8.657	10.1838	10.5828	9.8396	10.6152
GS1_SS_19851_18640	SCCCFL4002D04.g	Carbohydrate metabolism	transferase	Carbohydrate metabolism	Starch and sucrose metabolism	15.0766	15.1835	16.4559	14.274	16.3488	12.8465
GS1_SS_17251_11418	SCRLLR1038B02.g	.	.	.	CTD small phosphatase-like protein 2; CTDSP-like 2	12.7318	12.6855	13.3198	14.1212	13.8498	14.3028
GS1_SS_19849_13677	SCEQLB1065B12.g	.	.	.	FK506-binding protein 2-1; Peptidyl-prolyl cis-trans isomerase; PPIase; Rotamase; 15 kDa FKBP; FKBP-15-1;	12.8329	12.4734	13.4202	13.8095	13.7368	14.2191
GS1_SS_17252_08881	SCVPCL6042B11.g	Signal Transduction	kinase/phosphatase	Protein kinase	MAPK/MAPKK/MAPKKK	12.9224	13.1092	14.2292	14.1595	14.4804	13.2995
GS1_SS_19853_08674	SCCCFL4002E09.g	.	.	.	AP-3 complex subunit beta-2; Adapter-related protein complex 3 subunit beta-2; Adaptor protein complex AP-3 beta-2 subunit; AP-3 complex beta-2 subunit; Beta3B-adaptin; Clathrin assembly protein complex 3 beta-2 large chain	8.6321	8.7569	10.1962	10.2462	9.7035	10.0736
GS1_SS_17255_17759	SCSBSB1054B08.g	.	.	Pathogenicity	R-gene	8.0682	8.1716	9.3275	8.5963	9.356	
GS1_SS_19852_01575	SCCCFL4002E08.g	.	.	.	Chromodomain-helicase-DNA-binding protein Mi-2 homolog; ATP-dependent helicase Mi-2; dMi-2	6.7996	6.8083	7.6326	7.858	7.0228	8.2283
GS1_AS_16966_14692	SCSBSB1057D05.g	Carbohydrate metabolism	transferase	Carbohydrate metabolism	Alpha-glucan phosphorylase (starch phosphorylase)			7.2027	6.8384	7.0343	6.5275
GS1_SS_17276_20176	SCEPRZ1010E06.g	Signal Transduction	kinase/phosphatase	Protein phosphatase	serine/threonine PPM family	12.6146	12.3183	14.1021	17.2493	13.8849	16.8431
GS1_SS_19887_13768	SCEZLB1014A12.g	.	.	.	HVA22-like protein k (AtHVA22k)	12.8985	12.6806	13.6252	14.23	13.8296	14.6695
GS1_SS_17277_05640	SCVPCL6046G06.g	.	.	.	Putative receptor-like protein kinase At1g72540	8.3015	7.255	9.4582	8.5086	9.0579	9.9263
GS1_SS_17278_03232	SCACLR1127A07.g	.	.	.	RecName:Leucine-rich repeat extensin-like protein 6; Short=AtLRX6; Short=LRR/EXTENSIN6; AltName:Cell wall hydroxyproline-rich glycoprotein; Flags: Precursor	14.5022	14.8922	15.6165	15.9316	15.6041	16.5852
GS1_SS_17279_14197	SCSFSB1070D02.g	.	.	.	Putative salt tolerance-like protein At1g78600	13.1064	12.9358	14.8994	14.7628	14.5282	14.492
GS1_SS_17264_07752	SCSFSB1068B08.g	.	.	.	Pentatricopeptide repeat-containing protein At1g05665, mitochondrial;	8.4446	8.042	10.0006	9.4554	9.2848	9.6193
GS1_SS_19870_19090	SCJFLR1013H10.g	Carbohydrate metabolism	Nucleotide sugar synthesis, conversion and transport	Cell wall	UDP-glucose dehydrogenase	12.6169	12.2945	14.2393	14.1219	14.1972	14.0741
GS1_SS_19876_01220	SCCCLR1069H04.g	.	.	.	RecName:DEAD-box ATP-dependent RNA helicase 42	11.5377	11.6687	12.6595	13.1057	12.7322	13.6122
GS1_SS_17268_03596	SCSFSB1068F11.g	Transport	.	.	RecName:Probable sugar phosphate/phosphate translocator At3g14410	8.9154	8.7571	9.8117	9.5264	10.0096	8.9509
GS1_SS_17269_08166	SCSFSB1068G11.g	Signal Transduction	Regulatory and Sensor	.	.	8.0692	8.1425	9.7585	10.5204	9.203	8.7207
GS1_SS_19875_12382	SCSGFL1079F12.g	.	.	.	.		6.8087	8.0356	8.9706	8.1086	8.5787
GS1_SS_19879_08480	SCRULR1042G12.g	.	.	.	Glutathione S-transferase 1; GST-I; GST-29; GST class-phi member 1	10.0078	10.1694	11.1387	10.6768	10.8607	10.5467
GS1_SS_17273_06847	SCSFSB1069A11.g	.	.	.	Protein OSB2, chloroplastic OS=Arabidopsis thaliana GN=OSB2 PE=1 SV=2 			8.5635	7.4439	7.3566	6.9653
GS1_AS_16990_06443	SCQGSB1066F05.g	Unknown	Uncharacterized	.	.	8.4636	8.5589	8.6382	8.5336	8.6006	8.6963
GS1_AS_22150_00783	SCJLRT1017E07.g	.	.	.	Vesicle-associated membrane protein 711; AtVAMP711; v-SNARE synaptobrevin 7C; AtVAMP7C			7.2729	7.823	7.468	7.3861
GS1_SS_19820_09213	SCCCFL3002D01.g	Unknown	uncharacterized	.	.	9.7905	9.182	12.9851	10.0007	11.5025	9.1896
GS1_SS_17224_05414	SCSBSB1051H05.g	AminoAcid and nitrogen metabolism	aminotransferase	.	Tyrosine aminotransferase; TAT; L-tyrosine:2-oxoglutarate aminotransferase	12.3757	12.3537	12.7392	13.0052	14.2233	12.6522
GS1_SS_19818_19969	SCCCFL3002B08.g	.	.	No matches	.	9.0936	9.5678	10.4913	10.7886	9.3606	11.0161
GS1_SS_22393_09776	SCCCLR1075D12.g	.	.	.	Transmembrane emp24 domain-containing protein 10; 21 kDa transmembrane-trafficking protein; Transmembrane protein Tmp21; Integral membrane protein p23;	12.064	12.1649	14.6528	14.8435	14.5162	15.0701
GS1_SS_22399_13011	SCVPLR2012A06.g	.	.	.	.	7.8477	7.5066	9.0342	8.4461	9.1589	8.4329
GS1_SS_17225_08832	SCCCRZ2002H10.g	.	.	.	.	11.4094	11.2848	12.3694	12.5683	12.8145	12.6394
GS1_SS_17229_11973	SCSBSB1052C04.g	.	.	.	.	8.0364	8.2701	9.1059	9.2913	9.2615	9.385
GS1_SS_22396_11041	SCCCCL5072F03.g	.	.	.	.	11.3694	11.6085	13.3697	12.523	13.0056	12.0192
GS1_SS_19821_14557	SCCCFL3002D08.g	.	.	No matches	RecName:Uncharacterized aarF domain-containing protein kinase At1g71810, chloroplastic; Flags: Precursor	11.2058	11.7118	11.2431	13.2726	12.2375	13.1261
GS1_SS_17230_11561	SCBGLR1002G01.g	.	.	.	Katanin p80 WD40 repeat-containing subunit B1 homolog 1	9.8013	9.4202	11.8305	11.4616	11.7125	11.279
GS1_SS_19829_09422	SCJLLR2020F09.g	.	.	.	RecName:Mediator of RNA polymerase II transcription subunit 8; AltName:Protein SETH 10	10.9694	10.9632	12.7136	12.7669	12.184	12.6753
GS1_SS_19823_06108	SCJLST1027D09.g	.	.	.	Glutathione S-transferase; GST class-phi	7.5128	7.5204	8.103	7.7185	8.0387	9.0682
GS1_SS_17232_13211	SCSBSB1052D05.g	Unknown	uncharacterized	.	.	7.5504	7.8212	7.4256	8.2047	8.2021	8.501
GS1_SS_22400_10882	SCSFAM1077D01.g	Others	oxidoreductase	.	Uncharacterized oxidoreductase At4g09670	8.5257	8.9695	10.4594	8.5312	9.6087	7.598
GS1_SS_17233_09249	SCSBSB1052E10.g	.	.	.	RecName:Probable transcription factor GLK2; AltName:Golden2-like protein 2; Short=OsGLK2			7.0478	7.8901		
GS1_SS_22378_20589	SCEZLR1031E05.g	Protein metabolism	Ribosomal protein	Protein metabolism	50S ribosomal protein L5 (Fragment)	10.9569	11.2175	13.487	11.237	12.9121	10.452
GS1_SS_19809_21567	SCEPAM1106G01.g	Unknown	Uncharacterized	Small GTPases	GTPase modulator			7.3033	6.7979	6.6409	6.2539
GS1_SS_19805_12461	SCEPAM1106C12.g	.	.	.	.	7.1386	6.8137	7.8309	7.748		8.1598
GS1_SS_17218_05970	SCSBSB1051D12.g	.	.	.	.	10.3708	10.3889	11.4867	11.7297	12.0649	10.4095
GS1_SS_17219_03738	SCSBSB1051E06.g	.	.	.	.			7.0343	7.0004	6.6468	6.5679
GS1_SS_22390_08861	SCJLFL3010D04.g	.	.	.	Probable methyltransferase PMT25 OS=Arabidopsis thaliana GN=At2g34300 PE=1 SV=2 	6.7624	6.9691	8.0498	8.8548	7.9804	8.4882
GS1_SS_19810_08338	SCQGLR2025H09.g	.	.	.	Aluminum-activated malate transporter 9; Short=AtALMT9	9.5622	9.5425	11.3502	12.4633	11.1352	12.3808
GS1_AS_16892_20965	SCACST3159E04.g	Signal Transduction	transcription factor	Transcription Factor	MYB-like protein	7.3278	7.1918	8.5765	7.9371	7.6513	8.2497
GS1_AS_22177_00747	SCRFLR2037H07.g	Unknown	.	.	.			6.5237	6.1326		7.1911
GS1_AS_16909_04572	SCJFSB1012D12.g	Unknown	.	.	.	9.6398	9.7006	11.7588	10.5273	10.8577	10.2167
GS1_SS_19841_21485	SCEPLB1041B08.g	.	.	Carbohydrate metabolism	Pentose and Glucuronate interconversions	9.7169	9.8864	12.1453	11.4788	11.0819	11.6443
GS1_SS_17241_09603	SCSBSB1053A12.g	.	.	.	Kelch repeat-containing protein At3g27220	8.3927	8.5137	9.548	10.4273	10.0716	10.7171
GS1_SS_22412_11181	SCCCLR1022G08.g	.	.	.	UPF0202 protein At3g57940	7.5793	7.4625	10.2589	8.9184	8.624	8.2259
GS1_SS_22409_12566	SCCCCL4010C09.g	Others	transferase	.	Serine acetyltransferase 4 (AtSAT-4) (AtSERAT3;2)	10.438	10.9114	10.7099	12.4307	12.7384	12.4871
GS1_SS_19840_18998	SCSBAM1084F08.g	.	.	Development	cyclin	7.2175	6.645	6.923	6.8345	7.1925	6.8412
GS1_SS_17242_14231	SCSBSB1053C09.g	Unknown	Uncharacterized	.	.	9.2547	9.7343	11.1614	11.3452	10.8816	11.3171
GS1_SS_22415_09054	SCQGFL3050B07.g	DNA metabolism	methyltransferase	.	N(6)-adenine-specific DNA methyltransferase 2	8.8513	8.3501	10.6908	7.5002	9.7129	
GS1_SS_17243_05692	SCSBSB1053D08.g	Cell wall metabolism	transferase	.	Anthocyanidin 3-O-glucosyltransferase 1; Flavonol 3-O-glucosyltransferase 1; UDP-glucose flavonoid 3-O-glucosyltransferase 1	9.3069	9.7223	10.4135	11.8579	11.2211	10.3328
GS1_SS_19844_10541	SCCCRZ2001E10.g	.	.	.	DNA-directed RNA polymerase II subunit RPB3-A (RNA polymerase II subunit B3-A) (RNA polymerase II subunit 3-A) (DNA-directed RNA polymerase II 36 kDa polypeptide A)	11.7507	11.2779	13.2858	12.077	12.3549	11.6029
